MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
Jack Ryan:Shadow Recruit,15451981,84933618,60000000,Action Thriller,2014-01-17 00:00:00
If I Stay,15679190,28400000,11000000,Drama,2014-08-22 00:00:00
The Book of Life (2014),17005218,49632013,50000000,Animation,2014-10-17 00:00:00
About Last Night (2014),25649011,365000,0,Romantic Comedy,2014-02-14 00:00:00
Into The Storm,17346427,114100000,50000000,Thriller,2014-08-08 00:00:00
The Judge,13116226,37300000,50000000,Drama,2014-10-10 00:00:00
Jersey Boys,13319371,20622000,40000000,Musical,2014-06-20 00:00:00
Blended,14284031,81740000,40000000,Romantic Comedy,2014-05-23 00:00:00
The Giver,12305016,21890082,25000000,Fantasy Drama,2014-08-15 00:00:00
St. Vincent,7856474,10699522,0,Comedy,2014-10-10 00:00:00
Need for Speed,17844939,159700000,66000000,Action,2014-03-14 00:00:00
A Million Ways to Die in the West,16797385,44050456,40000000,Western Comedy,2014-05-30 00:00:00
John Wick,14415922,42975221,20000000,Action,2014-10-24 00:00:00
Birdman,2895868,60874496,18000000,Comedy / Drama,2014-10-17 00:00:00
Dolphin Tale 2,15873397,15800000,36000000,Family,2014-09-12 00:00:00
The Expendables 3,15879645,166850000,0,Action,2014-08-15 00:00:00
Earth to Echo,8364658,6401862,13000000,Adventure,2014-07-02 00:00:00
Sex Tape,14608152,87526036,40000000,Comedy,2014-07-18 00:00:00
Wild (2014),4720562,14621185,0,Drama,2014-12-03 00:00:00
Million Dollar Arm,10515659,2769953,25000000,Sports Drama,2014-05-16 00:00:00
The Theory of Everything,5219909,87833151,15000000,Drama,2014-11-07 00:00:00
This is Where I Leave You,11558149,7000000,0,Comedy,2014-09-19 00:00:00
The Gambler,9129999,5600000,25000000,Crime Drama,2014-12-25 00:00:00
Paranormal Activity:The Marked Ones,18343611,58442482,5000000,Horror,2014-01-03 00:00:00
Nightcrawler,10441000,6316000,0,Crime Drama,2014-10-31 00:00:00
Chef,2116509,14543932,0,Comedy,2014-05-09 00:00:00
Get On Up,13585915,2745871,0,Music Drama,2014-08-01 00:00:00
3 Days to Kill,12242218,21900000,28000000,Action Thriller,2014-02-21 00:00:00
Deliver Us From Evil,9740471,57360693,30000000,Horror,2014-07-02 00:00:00
When the Game Stands Tall,8381509,0,15000000,Sports Drama,2014-08-22 00:00:00
Draft Day,9783603,619809,0,Sports Drama,2014-04-11 00:00:00
Oculus,12005402,16335000,5000000,Horror,2014-04-11 00:00:00
The Best of Me,10003827,9160000,26000000,Romance,2014-10-17 00:00:00
A Walk Among the Tombstones,12758780,26874000,28000000,Drama,2014-09-19 00:00:00
That Awkward Moment,8742109,14400000,8000000,Romantic Comedy,2014-01-31 00:00:00
Boyhood,2380066,19143000,4000000,Drama,2014-07-11 00:00:00
Top Five,6896593,800000,0,Comedy,2014-12-12 00:00:00
The November Man,7911597,7538000,0,Action,2014-08-27 00:00:00
Endless Love (2014),13307125,11279923,20000000,Romance,2014-02-14 00:00:00
Pompeii,10340823,94611883,100000000,Action Drama,2014-02-21 00:00:00
Transcendence,10886386,80016949,100000000,Sci-Fi,2014-04-18 00:00:00
As Above/So Below,8632820,20577309,0,Thriller,2014-08-29 00:00:00
Brick Mansions,9516855,48500000,28000000,Action,2014-04-25 00:00:00
"I, Frankenstein",8610441,52079302,65000000,Action Horror,2014-01-24 00:00:00
The Legend of Hercules,8868318,42430914,70000000,Action / Adventure,2014-01-10 00:00:00
Bears,4776267,3536551,0,Documentary,2014-04-18 00:00:00
Addicted,7485346,0,0,Drama,2014-10-10 00:00:00
A Haunted House 2,8843875,6630000,4000000,Horror Comedy,2014-04-18 00:00:00
A Most Wanted Man,5929389,18995662,0,Thriller,2014-07-25 00:00:00
Begin Again,2954903,47294229,0,Comedy,2014-06-27 00:00:00
Tyler Perry's The Single Moms Club,8075111,364000,0,Comedy / Drama,2014-03-14 00:00:00
Devil's Due,8308220,21100099,7000000,Horror,2014-01-17 00:00:00
And So It Goes,4642329,10151586,0,Comedy / Drama,2014-07-25 00:00:00
Step Up All In,6469857,71261262,0,Music Drama,2014-08-08 00:00:00
Beyond the Lights,6200284,0,7000000,Drama,2014-11-14 00:00:00
Big Eyes,3001738,14771135,0,Drama,2014-12-25 00:00:00
America (2014),2782361,0,0,Documentary,2014-06-27 00:00:00
Left Behind (2014),6300147,5663000,16000000,Thriller,2014-10-03 00:00:00
Frank Miller's Sin City:A Dame to Kill For,6317683,25649812,0,Crime,2014-08-22 00:00:00
Labor Day,5175282,6904284,18000000,Drama,2014-01-31 00:00:00
Whiplash,135388,35890041,0,Drama,2014-10-10 00:00:00
Winter's Tale,7297694,18525000,60000000,Fantasy,2014-02-14 00:00:00
Foxcatcher,1250877,0,0,Drama,2014-11-14 00:00:00
Belle,106578,0,0,Drama,2014-05-02 00:00:00
The Drop,4104552,7933992,0,Crime Drama,2014-09-12 00:00:00
Island of Lemurs:Madagascar (IMAX),188307,2298227,0,IMAX,2014-04-04 00:00:00
P.K.,3565258,89754000,0,Foreign,2014-12-19 00:00:00
Magic in the Moonlight,2198245,40490035,0,Comedy / Drama,2014-07-25 00:00:00
Sabotage (2014),5272444,7000000,0,Action Thriller,2014-03-28 00:00:00
Moms' Night Out,4311083,0,5000000,Comedy,2014-05-09 00:00:00
The Quiet Ones,3880053,9325000,0,Horror,2014-04-25 00:00:00
Legends of Oz:Dorothy's Return,3747780,10200000,70000000,Animation,2014-05-09 00:00:00
Inherent Vice,3101444,6600000,0,Crime,2014-12-12 00:00:00
Vampire Academy,3921742,7600000,0,Fantasy,2014-02-07 00:00:00
Bad Words,2673487,0,0,Comedy,2014-03-14 00:00:00
Cantinflas,2661253,0,0,Drama,2014-08-29 00:00:00
The Interview (2014),1794666,5200000,0,Comedy,2014-12-25 00:00:00
Meet the Mormons,2509808,0,0,Documentary,2014-10-10 00:00:00
A Most Violent Year,1685012,6257936,20000000,Drama / Thriller,2014-12-31 00:00:00
Cesar Chavez,2861528,0,0,Drama,2014-03-28 00:00:00
The Skeleton Twins,380691,0,0,Drama,2014-09-12 00:00:00
The Wind Rises,313751,112722821,0,Animation,2014-02-21 00:00:00
Snowpiercer,171187,82195262,0,Sci-Fi Action,2014-06-27 00:00:00
The Railway Man,613788,17882455,0,Drama,2014-04-11 00:00:00
Dear White People,347959,0,0,Comedy / Drama,2014-10-17 00:00:00
The Lunchbox,44542,0,0,Foreign,2014-02-28 00:00:00
My Old Lady,124680,0,0,Comedy / Drama,2014-09-10 00:00:00
Mr. Turner,109000,1447000,0,Drama,2014-12-19 00:00:00
Ida,55438,0,0,Foreign,2014-05-02 00:00:00
Fading Gigolo,180801,9600000,0,Comedy,2014-04-18 00:00:00
Calvary,74149,13287735,0,Comedy / Drama,2014-08-01 00:00:00
Wish I Was Here,1638949,1892000,0,Comedy / Drama,2014-07-18 00:00:00
Ghostbusters (30th Anniversary re-release),1756513,0,0,Horror Comedy,2014-08-29 00:00:00
Mommy,473882,0,0,Foreign,2014-09-19 00:00:00
What If (2014),988262,4354000,0,Romantic Comedy,2014-08-08 00:00:00
The Grand Seduction,323743,0,0,Comedy,2014-05-30 00:00:00
Veronica Mars,1988351,194900,6000000,Comedy,2014-03-14 00:00:00
Before I Go To Sleep,1843347,11818000,0,Thriller,2014-10-31 00:00:00
Rosewater,1154303,0,0,Drama,2014-11-14 00:00:00
Obvious Child,77315,0,0,Comedy,2014-06-06 00:00:00
The Trip to Italy,71712,3049000,0,Comedy,2014-08-15 00:00:00
The Identical,1587137,0,0,Drama,2014-09-05 00:00:00
The Fluffy Movie,1311446,0,0,Concert,2014-07-25 00:00:00
Citizenfour,126321,202299,0,Documentary,2014-10-24 00:00:00
Kirk Cameron's Saving Christmas,992087,0,0,Family,2014-11-14 00:00:00
The Pyramid,1955564,14104804,0,Horror,2014-12-05 00:00:00
The Good Lie,841422,0,0,Drama,2014-10-03 00:00:00
The Raid 2,1121964,0,0,Foreign / Action,2014-03-28 00:00:00
Under the Skin (2014),133154,2766000,0,Sci-Fi,2014-04-04 00:00:00
The Admiral:Roaring Currents,51431,109567000,0,Foreign,2014-08-08 00:00:00
Dragon Ball Z:Battle of Gods,296414,47800000,0,Animation,2014-08-05 00:00:00
Bang Bang,1278690,39499809,0,Foreign / Action,2014-10-02 00:00:00
Kick,1071373,0,0,Foreign,2014-07-25 00:00:00
Kill the Messenger,941809,0,0,Thriller,2014-10-10 00:00:00
The Homesman,45433,0,0,Western,2014-11-14 00:00:00
Ode to My Father,33880,0,0,Foreign,2014-12-25 00:00:00
Love is Strange,117276,0,0,Drama,2014-08-22 00:00:00
2 States,1073898,0,0,Foreign,2014-04-18 00:00:00
Le Week-End,43608,0,0,Romance,2014-03-14 00:00:00
Anchorman 2 (R-Rated Extended Cut),1358833,0,0,Comedy,2014-02-28 00:00:00
2014 Oscar Nominated Short Films,329505,0,0,Unknown,2014-01-31 00:00:00
Words and Pictures,87879,1175000,0,Comedy / Drama,2014-05-23 00:00:00
Gloria (2014),56454,0,0,Foreign,2014-01-24 00:00:00
The Immigrant,44064,3842358,0,Drama,2014-05-16 00:00:00
Only Lovers Left Alive,87989,0,7000000,Drama,2014-04-11 00:00:00
Tusk,846831,0,0,Horror,2014-09-19 00:00:00
Tim's Vermeer,49777,0,0,Documentary,2014-01-31 00:00:00
Persecuted,851391,0,0,Thriller,2014-07-18 00:00:00
Awake:The Life of Yogananda,18885,0,0,Documentary,2014-10-10 00:00:00
Fed Up,126028,0,0,Documentary,2014-05-09 00:00:00
Finding Vivian Maier,63600,0,0,Documentary,2014-03-28 00:00:00
Pride (2014),100040,6077000,0,Comedy / Drama,2014-09-26 00:00:00
"Two Days, One Night",30700,5427000,0,Foreign,2014-12-24 00:00:00
Locke,81006,0,0,Thriller,2014-04-25 00:00:00
Gimme Shelter,689070,0,0,Drama,2014-01-24 00:00:00
Force Majeure,23309,0,0,Foreign,2014-10-24 00:00:00
Jai Ho,840506,0,0,Foreign,2014-01-24 00:00:00
Singham Returns,654045,0,0,Foreign / Action,2014-08-15 00:00:00
Repentance,501290,0,0,Horror Thriller,2014-02-28 00:00:00
The Remaining,159143,0,0,Horror Thriller,2014-09-05 00:00:00
Hector And The Search For Happiness,40847,0,0,Drama,2014-09-19 00:00:00
The Rover,550516,2098093,12000000,Drama,2014-06-13 00:00:00
Walking with the Enemy,331855,0,0,Drama,2014-04-25 00:00:00
Leviathan (2014),15200,0,0,Foreign,2014-12-25 00:00:00
The Captive,407804,0,0,Thriller,2014-09-05 00:00:00
Laggies,74139,0,0,Romantic Comedy,2014-10-24 00:00:00
50 to 1,78480,0,0,Drama,2014-03-21 00:00:00
Haider,508084,0,0,Foreign,2014-10-02 00:00:00
Third Person,38856,0,0,Romance,2014-06-20 00:00:00
Stalingrad (2014),510846,67115573,0,Foreign,2014-02-28 00:00:00
The Song,568596,0,0,Music Drama,2014-09-26 00:00:00
Enemy,16161,2388000,0,Thriller,2014-03-14 00:00:00
The Babadook,30007,5725679,0,Horror,2014-11-28 00:00:00
Shaadi Ke Side Effects,582672,0,0,Foreign,2014-02-28 00:00:00
Mas Negro Que La Noche,539867,5221000,0,Foreign / Horror,2014-09-26 00:00:00
Particle Fever,53901,0,0,Documentary,2014-03-05 00:00:00
Song of the Sea,21910,0,0,Animation,2014-12-19 00:00:00
Atlas Shrugged Part III:Who Is John Galt?,461179,0,0,Drama,2014-09-12 00:00:00
Kochadaiiyaan,583172,0,0,Foreign,2014-05-23 00:00:00
Saw 10th Anniversary,650051,0,0,Horror,2014-10-31 00:00:00
Life Itself,131411,0,0,Documentary,2014-07-04 00:00:00
Nymphomaniac:Volume I,158369,9500000,0,Drama,2014-03-21 00:00:00
Breakup Buddies,230204,0,0,Foreign,2014-10-03 00:00:00
Palo Alto,63461,0,0,Drama,2014-05-09 00:00:00
Ek Villain,414116,0,0,Foreign / Action,2014-06-27 00:00:00
Land Ho!,34319,0,0,Comedy,2014-07-11 00:00:00
Yves Saint Laurent,24207,20302697,0,Foreign,2014-06-25 00:00:00
Khoobsurat,345085,0,0,Foreign,2014-09-19 00:00:00
Holiday (2014),394797,0,0,Foreign / Action,2014-06-06 00:00:00
"Men, Women & Children",354391,1534627,0,Drama,2014-10-01 00:00:00
The Tale of The Princess Kaguya,54915,23483000,0,Animation,2014-10-17 00:00:00
Frankie & Alice (2014),350647,0,0,Drama,2014-04-04 00:00:00
A Matter of Faith,138677,0,0,Drama,2014-10-17 00:00:00
Jodorowsky's Dune,36018,0,0,Documentary,2014-03-21 00:00:00
Hasee Toh Phasee,336985,0,0,Foreign,2014-02-07 00:00:00
Frank,16056,0,0,Comedy / Drama,2014-08-15 00:00:00
Mary Kom,370277,0,0,Foreign,2014-09-05 00:00:00
Finding Fanny,515393,7070093,0,Foreign,2014-09-12 00:00:00
The Signal (2014),155642,0,0,Sci-Fi Thriller,2014-06-13 00:00:00
The Disappearance of Eleanor Rigby,66941,397233,0,Drama,2014-09-12 00:00:00
Back in Time (Congcong Nanian),206591,0,0,Foreign,2014-12-12 00:00:00
Forrest Gump (IMAX),398560,0,0,Drama,2014-09-05 00:00:00
The Attorney,216035,70010303,0,Foreign,2014-02-07 00:00:00
23 Blast,337091,0,0,Sports Drama,2014-10-24 00:00:00
On Any Sunday:The Next Chapter,320894,0,0,Documentary,2014-11-07 00:00:00
Highway (2014),326654,0,0,Foreign,2014-02-21 00:00:00
Dom Hemingway,29276,0,0,Crime,2014-04-02 00:00:00
A Hard Day's Night (2014 re-release),220542,0,0,Musical,2014-07-04 00:00:00
The One I Love,48059,0,0,Romantic Comedy,2014-08-22 00:00:00
Tracks (2014),21544,4368235,0,Drama,2014-09-19 00:00:00
The Two Faces of January,43116,13044488,0,Thriller,2014-09-26 00:00:00
A Girl Walks Home Alone at Night,0,0,0,Foreign,2014-11-21 00:00:00
Last Days in Vietnam,30500,0,0,Documentary,2014-09-05 00:00:00
In Secret,265586,0,0,Romantic Thriller,2014-02-21 00:00:00
But Always (Yi Sheng Yi Shi),144720,0,0,Foreign,2014-09-05 00:00:00
Beijing Love Story,140106,0,0,Foreign,2014-02-14 00:00:00
Cold in July,40317,0,0,Drama / Thriller,2014-05-23 00:00:00
She's Beautiful When She's Angry,10505,0,0,Documentary,2014-12-05 00:00:00
The German Doctor,34259,2600000,0,Foreign,2014-04-25 00:00:00
The Pirates,26025,32100000,0,Foreign,2014-09-05 00:00:00
Goodbye to Language,0,0,0,Foreign,2014-10-24 00:00:00
Humpty Sharma Ki Dulhania,380011,0,0,Foreign,2014-07-11 00:00:00
Women Who Flirt (Sajiao Nvren),74052,0,0,Foreign,2014-11-26 00:00:00
Venus in Fur,24761,7976421,0,Drama,2014-06-20 00:00:00
Joe (2014),105881,0,0,Drama,2014-04-11 00:00:00
Glen Campbell... I'll Be Me,86741,0,0,Documentary,2014-10-24 00:00:00
Omar,157000,0,0,Foreign,2014-02-21 00:00:00
The Face of Love,24660,0,0,Drama,2014-03-07 00:00:00
Le Chef,11290,5912970,0,Foreign,2014-06-20 00:00:00
Jimi:All Is By My Side,97008,0,0,Music Drama,2014-09-26 00:00:00
Chinese Puzzle,23544,7144485,0,Foreign,2014-05-16 00:00:00
I Origins,27652,0,0,Drama,2014-07-18 00:00:00
"Like Father, Like Son (2014)",16044,19644345,0,Foreign,2014-01-17 00:00:00
The Guest (2014),84527,2034271,0,Thriller,2014-09-17 00:00:00
Elaine Stritch:Shoot Me,27853,0,0,Documentary,2014-02-21 00:00:00
Nymphomaniac:Volume II,74978,1900000,0,Drama,2014-04-04 00:00:00
Stranger By the Lake,27599,0,0,Foreign,2014-01-24 00:00:00
On My Way,10536,0,0,Foreign,2014-03-14 00:00:00
Happy Ending,198702,0,0,Foreign,2014-11-21 00:00:00
The Hornet's Nest,26550,0,0,Documentary,2014-05-09 00:00:00
I Am Eleven,5800,0,0,Documentary,2014-09-12 00:00:00
A Five Star Life,15996,2198866,0,Foreign,2014-07-18 00:00:00
Mood Indigo,26511,9500000,0,Foreign,2014-07-18 00:00:00
Innocence (2014),235224,0,0,Fantasy,2014-09-05 00:00:00
The Dance of Reality,24768,0,0,Foreign,2014-05-23 00:00:00
Antarctica:A Year on Ice,32238,0,0,Documentary,2014-11-28 00:00:00
The Last of Robin Hood,25821,0,0,Drama,2014-08-29 00:00:00
Elsa & Fred (2014),65275,0,0,Romantic Comedy,2014-11-07 00:00:00
Kundo:Age of the Rampant,120857,0,0,Foreign,2014-08-29 00:00:00
"20,000 Days on Earth",27879,1826000,0,Documentary,2014-09-17 00:00:00
The Unknown Known,64315,0,0,Documentary,2014-04-04 00:00:00
Main Tera Hero,162404,0,0,Foreign,2014-04-04 00:00:00
Night Moves,21488,0,0,Thriller,2014-05-30 00:00:00
Love on the Cloud (Wei Ai),67967,0,0,Foreign,2014-12-24 00:00:00
The Love Punch,266588,4522129,0,Comedy,2014-05-23 00:00:00
Life of Crime,104300,0,0,Comedy,2014-08-29 00:00:00
Ernest & Celestine,13078,4813287,0,Animation,2014-02-28 00:00:00
Blue Ruin,32608,0,0,Thriller,2014-04-25 00:00:00
The Green Prince,32698,0,0,Documentary,2014-09-12 00:00:00
The Zero Theorem,83803,513000,0,Sci-Fi,2014-09-19 00:00:00
Action Jackson (2014),171795,0,0,Foreign,2014-12-05 00:00:00
Alive Inside,7200,0,0,Documentary,2014-07-18 00:00:00
The Blue Room,21809,0,0,Foreign,2014-10-03 00:00:00
National Gallery,10049,0,0,Documentary,2014-11-05 00:00:00
Tazza:The Hidden Card,24106,0,0,Foreign,2014-09-19 00:00:00
The Galapagos Affair:Satan Came to Eden,5185,0,0,Documentary,2014-04-04 00:00:00
James Cameron's Deepsea Challenge 3D,149879,0,0,Documentary,2014-08-08 00:00:00
Art and Craft,20879,0,0,Documentary,2014-09-19 00:00:00
Diplomacy,8518,3716000,0,Foreign,2014-10-15 00:00:00
Dr. Cabbie (U.S. only),118732,0,0,Comedy,2014-11-26 00:00:00
The Suspect (2014),86137,21362890,0,Foreign,2014-01-10 00:00:00
Supermensch:The Legend of Shep Gordon,23017,0,0,Documentary,2014-06-06 00:00:00
The Breakup Guru,62717,0,0,Foreign,2014-06-27 00:00:00
Rob the Mob,13833,0,0,Crime Thriller,2014-03-21 00:00:00
Under the Electric Sky,0,0,0,Documentary,2014-05-29 00:00:00
Jinn,149337,0,0,Thriller,2014-04-04 00:00:00
Bethlehem,69700,0,0,Foreign,2014-03-07 00:00:00
The Double (2014),14646,0,0,Comedy / Drama,2014-05-09 00:00:00
Listen Up Philip,23284,0,0,Drama,2014-10-17 00:00:00
A Summer's Tale,12863,0,0,Foreign,2014-06-20 00:00:00
Code Black,6319,0,0,Documentary,2014-06-20 00:00:00
We Are The Best!,17664,0,0,Foreign,2014-05-30 00:00:00
Anita,44114,0,0,Documentary,2014-03-21 00:00:00
Evangelion:3.0 You Can (Not) Redo,110825,60313000,0,Animation,2014-01-10 00:00:00
Horns,107544,3701494,0,Fantasy Drama,2014-10-31 00:00:00
Afternoon of a Faun,15292,0,0,Documentary,2014-02-05 00:00:00
That Demon Within,77130,0,0,Foreign / Action,2014-04-18 00:00:00
God's Pocket,21482,0,0,Drama,2014-05-09 00:00:00
NAS:Time is Illmatic,23200,0,0,Documentary,2014-10-01 00:00:00
Keep On Keepin' On,12930,0,0,Documentary,2014-09-19 00:00:00
Sinbad:The Fifth Voyage,0,0,0,Fantasy,2014-02-07 00:00:00
Citizen Koch,10200,0,0,Documentary,2014-06-06 00:00:00
Alan Partridge:The Movie,12664,9573673,0,Comedy,2014-04-04 00:00:00
Dancing in Jaffa,10564,0,0,Documentary,2014-04-11 00:00:00
A Coffee in Berlin,3918,2600000,0,Foreign,2014-06-13 00:00:00
Godzilla:The Japanese Original,10903,0,0,Foreign,2014-04-18 00:00:00
Kids For Cash,36639,0,0,Documentary,2014-02-07 00:00:00
Gore Vidal:United States of Amnesia,13744,0,0,Documentary,2014-05-23 00:00:00
Mistaken for Strangers,87743,0,0,Documentary,2014-03-28 00:00:00
The Congress,28640,318000,0,Sci-Fi,2014-08-29 00:00:00
The Divine Move,49057,27790164,0,Foreign,2014-07-25 00:00:00
Redwood Highway,30,0,0,Drama,2014-04-11 00:00:00
The Jewish Cardinal,0,0,0,Foreign,2014-01-10 00:00:00
Raja Natwarlal,83669,0,0,Foreign,2014-08-29 00:00:00
Bjork - Biophilia Live,127754,305932,0,Documentary,2014-09-26 00:00:00
Make Your Move,81172,1346000,0,Drama,2014-04-18 00:00:00
Knights of Badassdom,17449,0,0,Comedy,2014-01-21 00:00:00
Afflicted (2014),69447,0,0,Horror,2014-04-04 00:00:00
Finding Fela,0,0,0,Documentary,2014-08-01 00:00:00
Zero Motivation,9427,0,0,Foreign,2014-12-03 00:00:00
God the Father,15037,0,0,Documentary,2014-10-17 00:00:00
The Liberator,69992,0,0,Foreign,2014-10-03 00:00:00
Penton:The John Penton Story,0,0,0,Documentary,2014-06-23 00:00:00
Rich Hill,9635,0,0,Documentary,2014-08-01 00:00:00
The Overnighters,4324,0,0,Documentary,2014-10-10 00:00:00
Duran Duran:Unstaged,0,0,0,Documentary,2014-09-10 00:00:00
Anohana The Movie:The Flower We Saw That Day,37480,0,0,Animation,2014-01-18 00:00:00
Ivory Tower,17857,0,0,Documentary,2014-06-13 00:00:00
Six Dance Lessons in Six Weeks,12542,0,0,Comedy,2014-12-12 00:00:00
The Golden Era,50242,0,0,Foreign,2014-10-17 00:00:00
God Help the Girl,11330,0,0,Drama,2014-09-05 00:00:00
Coherence,17000,0,0,Sci-Fi,2014-06-20 00:00:00
The Way He Looks,26334,1058000,0,Foreign,2014-11-07 00:00:00
Korengal,14630,0,0,Documentary,2014-05-30 00:00:00
One Chance,33405,10799238,0,Musical,2014-10-10 00:00:00
Beyond Sight:The Derek Rabelo Story,26840,0,0,Documentary,2014-03-07 00:00:00
The Best Offer,2595,0,0,Crime Drama,2014-01-03 00:00:00
Child's Pose,12955,0,0,Foreign,2014-02-19 00:00:00
Hiroshima Mon Amour (2014 re-release),18494,0,0,Foreign,2014-10-17 00:00:00
Cuban Fury,57105,0,0,Comedy,2014-04-11 00:00:00
Generation War,7386,0,0,Foreign,2014-01-15 00:00:00
Girl on a Bicycle,37610,0,0,Romantic Comedy,2014-02-14 00:00:00
Pump,42200,0,0,Documentary,2014-09-19 00:00:00
Breathe In,15324,0,0,Drama,2014-03-28 00:00:00
The Principle,8657,0,0,Documentary,2014-10-24 00:00:00
