MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
American Sniper,89902522,197300000,0,Drama,2014-12-25 00:00:00
The Hunger Games:Mockingjay - Part 1,121897634,418220826,125000000,Action / Adventure,2014-11-21 00:00:00
Guardians of the Galaxy,94320883,440135799,170000000,Action / Adventure,2014-08-01 00:00:00
Captain America:The Winter Soldier,95023721,454654931,170000000,Action / Adventure,2014-04-04 00:00:00
The LEGO Movie,69050279,211400000,60000000,Animation,2014-02-07 00:00:00
The Hobbit:The Battle of the Five Armies,54724334,700900000,0,Fantasy,2014-12-17 00:00:00
Transformers:Age of Extinction,100038390,858614996,210000000,Sci-Fi Action,2014-06-27 00:00:00
Maleficent,69431298,517129407,180000000,Fantasy,2014-05-30 00:00:00
X-Men:Days of Future Past,90823660,513941241,200000000,Action / Adventure,2014-05-23 00:00:00
Big Hero 6,56215889,435290784,165000000,Animation,2014-11-07 00:00:00
Dawn of the Planet of the Apes,72611427,502098977,170000000,Sci-Fi Action,2014-07-11 00:00:00
The Amazing Spider-Man 2,91608337,506128390,0,Action / Adventure,2014-05-02 00:00:00
Godzilla (2014),93188384,328400000,160000000,Sci-Fi Action,2014-05-16 00:00:00
22 Jump Street,57071445,139614539,50000000,Action Comedy,2014-06-13 00:00:00
Teenage Mutant Ninja Turtles (2014),65575105,302128830,125000000,Action / Adventure,2014-08-08 00:00:00
Interstellar,47510360,487100000,165000000,Sci-Fi Adventure,2014-11-05 00:00:00
How to Train Your Dragon 2,49451322,444534595,145000000,Animation,2014-06-13 00:00:00
Gone Girl,37513109,201563174,61000000,Thriller,2014-10-03 00:00:00
Divergent,54607747,137937923,85000000,Action / Adventure,2014-03-21 00:00:00
Neighbors,49033915,120507734,18000000,Comedy,2014-05-09 00:00:00
Ride Along,41516170,19530702,25000000,Comedy,2014-01-17 00:00:00
Rio 2,39327869,368563537,103000000,Animation,2014-04-11 00:00:00
Into the Woods,31051923,85114029,50000000,Musical,2014-12-25 00:00:00
Lucy,43899340,336696463,40000000,Sci-Fi Action,2014-07-25 00:00:00
The Fault in our Stars,48002523,182294484,12000000,Drama,2014-06-06 00:00:00
Unbroken,30621445,47805042,65000000,War Drama,2014-12-25 00:00:00
Night at the Museum:Secret of the Tomb,17100520,249458014,127000000,Family Adventure,2014-12-19 00:00:00
Mr. Peabody & Sherman,32207057,164191609,145000000,Animation,2014-03-07 00:00:00
300:Rise of An Empire,45038460,231000000,110000000,Period Action,2014-03-07 00:00:00
The Maze Runner,32512804,245891999,34000000,Sci-Fi Thriller,2014-09-19 00:00:00
The Equalizer,34137828,90800000,55000000,Thriller,2014-09-26 00:00:00
Noah,43720472,261437429,125000000,Drama,2014-03-28 00:00:00
Edge of Tomorrow,28760246,270335000,178000000,Sci-Fi Action,2014-06-06 00:00:00
Non-Stop,28875635,130641000,50000000,Thriller,2014-02-28 00:00:00
Heaven is for Real,22522221,9889709,12000000,Drama,2014-04-16 00:00:00
The Imitation Game,8411644,142430025,0,Drama,2014-11-28 00:00:00
Dumb and Dumber To,36111775,83629000,40000000,Comedy,2014-11-14 00:00:00
Annie (2014),15861939,47910554,65000000,Musical,2014-12-19 00:00:00
Fury (2014),23702421,126000000,68000000,War,2014-10-17 00:00:00
Tammy,21577049,16000000,20000000,Comedy,2014-07-02 00:00:00
Annabelle,37134255,172600000,0,Horror,2014-10-03 00:00:00
The Other Woman (2014),24763752,112799203,40000000,Comedy,2014-04-25 00:00:00
Penguins of Madagascar,25447444,289664710,132000000,Animation,2014-11-26 00:00:00
Let's Be Cops,17813722,55834177,17000000,Action Comedy,2014-08-13 00:00:00
The Monuments Men,22003433,76952415,70000000,Action Drama,2014-02-07 00:00:00
Hercules (2014),29800263,172131248,100000000,Action / Adventure,2014-07-25 00:00:00
The Purge:Anarchy,29816675,39965565,9000000,Thriller,2014-07-18 00:00:00
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",18360230,34425138,28000000,Family,2014-10-10 00:00:00
Think Like a Man Too,29241911,4999246,24000000,Comedy,2014-06-20 00:00:00
Exodus:Gods and Kings,24115934,203161118,140000000,Drama,2014-12-12 00:00:00
The Nut Job,19423000,56633986,42000000,Animation,2014-01-17 00:00:00
God's Not Dead,9217013,1875000,2000000,Drama,2014-03-21 00:00:00
Son of God,25601865,8100000,0,Drama,2014-02-28 00:00:00
The Grand Budapest Hotel,9350961,115500000,25000000,Comedy,2014-03-07 00:00:00
Planes:Fire & Rescue,17509407,92220853,50000000,Animation,2014-07-18 00:00:00
RoboCop (2014),21681430,184081958,100000000,Sci-Fi Action,2014-02-12 00:00:00
Dracula Untold,23514615,160843925,70000000,Action Horror,2014-10-10 00:00:00
Horrible Bosses 2,15457418,53225000,42000000,Comedy,2014-11-26 00:00:00
The Hundred-Foot Journey,10979290,34640000,22000000,Drama,2014-08-08 00:00:00
No Good Deed (2014),24250283,1779578,0,Thriller,2014-09-12 00:00:00
Selma,11878844,14711000,20000000,Drama,2014-12-25 00:00:00
Muppets Most Wanted,17005126,29200177,50000000,Family Comedy,2014-03-21 00:00:00
Ouija,19875995,52734261,5000000,Horror,2014-10-24 00:00:00
The Boxtrolls,17275239,58447728,60000000,Animation,2014-09-26 00:00:00
