MOVIE_NAME,WRITER
Our Brand Is Crisis (2015),Peter Straughan
Grandma (2015),Paul Weitz
Little Boy,Alejandro Monteverde
Little Boy,Pepe Portillo
Victor Frankenstein,Max Landis
Danny Collins,Dan Fogelman
Irrational Man,Woody Allen
Anomalisa,Charlie Kaufman
Mistress America,Noah Baumbach
Mistress America,Greta Gerwig
Legend,Brian Helgeland
Child 44,Richard Price
Sleeping with Other People,Leslye Headland
Effie Gray,Emma Thompson
Good Kill,Andrew Niccol
The Young & Prodigious T.S. Spivet,Jean-Pierre Jeunet
Time Out of Mind,Oren Moverman
Digging for Fire,Jake Johnson
Digging for Fire,Joe Swanberg
Every Secret Thing,Nicole Holofcener
Shanghai,Hossein Amini
Breathe,Melanie Laurent
Metropolitan (2015 re-release),Whit Stillman
Area 51,Oren Peli
American Sniper,Jason Dean Hall
The Hunger Games:Mockingjay - Part 1,Peter Craig
The Hunger Games:Mockingjay - Part 1,Danny Strong
Guardians of the Galaxy,James Gunn
Guardians of the Galaxy,Nicole Perlman
Captain America:The Winter Soldier,Christopher Markus
Captain America:The Winter Soldier,Stephen McFeely
The LEGO Movie,Phil Lord
The LEGO Movie,Chris Miller (II)
The Hobbit:The Battle of the Five Armies,Philippa Boyens
The Hobbit:The Battle of the Five Armies,Guillermo del Toro
The Hobbit:The Battle of the Five Armies,Peter Jackson
The Hobbit:The Battle of the Five Armies,Fran Walsh
Transformers:Age of Extinction,Ehren Kruger
Maleficent,Linda Woolverton
X-Men:Days of Future Past,Simon Kinberg
Big Hero 6,Robert L. Baird
Big Hero 6,Daniel Gerson
Big Hero 6,Jordan Roberts
Dawn of the Planet of the Apes,Mark Bomback
Dawn of the Planet of the Apes,Rick Jaffa
Dawn of the Planet of the Apes,Amanda Silver
The Amazing Spider-Man 2,Alex Kurtzman
The Amazing Spider-Man 2,Roberto Orci
Godzilla (2014),Max Borenstein
22 Jump Street,Michael Bacall
22 Jump Street,Rodney Rothman
22 Jump Street,Oren Uziel
Teenage Mutant Ninja Turtles (2014),Josh Appelbaum
Teenage Mutant Ninja Turtles (2014),Evan Daugherty
Teenage Mutant Ninja Turtles (2014),Andre Nemec
Interstellar,Christopher Nolan
How to Train Your Dragon 2,Dean DeBlois
Gone Girl,Gillian Flynn
Divergent,Evan Daugherty
Divergent,Vanessa Taylor
Neighbors,Andrew J. Cohen
Neighbors,Brendan O'Brien
Ride Along,Greg Coolidge
Ride Along,Phil Hay
Ride Along,Matt Manfredi
Rio 2,Yoni Brenner
Rio 2,Carlos Saldanha
Into the Woods,James Lapine
Lucy,Luc Besson
The Fault in our Stars,Scott Neustadter
The Fault in our Stars,Michael H. Weber
Unbroken,Ethan Coen
Unbroken,Joel Coen
Unbroken,Richard LaGravenese
Unbroken,William Nicholson
Night at the Museum:Secret of the Tomb,David Guion
Night at the Museum:Secret of the Tomb,Michael Handelman
Mr. Peabody & Sherman,Craig Wright
300:Rise of An Empire,Kurt Johnstad
300:Rise of An Empire,Zack Snyder
The Maze Runner,Grant Pierce Myers
The Maze Runner,T.S. Nowlin
The Maze Runner,Noah Oppenheim
The Equalizer,Richard Wenk
Noah,Darren Aronofsky
Noah,Ari Handel
Edge of Tomorrow,Jez Butterworth
Edge of Tomorrow,John-Henry Butterworth
Edge of Tomorrow,Christopher McQuarrie
Non-Stop,Ryan Engle
Non-Stop,John W. Richardson
Non-Stop,Chris Roach
Heaven is for Real,Chris Parker
Heaven is for Real,Randall Wallace
The Imitation Game,Graham Moore
Dumb and Dumber To,Sean Anders
Annie (2014),Will Gluck
Annie (2014),Aline Brosh McKenna
Fury (2014),David Ayer
Tammy,Melissa McCarthy
Annabelle,Gary Dauberman
The Other Woman (2014),Melissa Stack
Let's Be Cops,Luke Greenfield
Let's Be Cops,Nicholas Thomas
The Monuments Men,George Clooney
The Monuments Men,Grant Heslov
Hercules (2014),Ryan Condal
Hercules (2014),Evan Spiliotopoulos
The Purge:Anarchy,James DeMonaco
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Rob Lieber
Think Like a Man Too,Keith Merryman
Think Like a Man Too,David A. Newman
Exodus:Gods and Kings,Jeffrey Caine
Exodus:Gods and Kings,Bill Collage
Exodus:Gods and Kings,Adam Cooper
Exodus:Gods and Kings,Steven Zaillian
The Nut Job,Lorne Cameron
Son of God,Christopher Spencer
The Grand Budapest Hotel,Wes Anderson
RoboCop (2014),Joshua Zetumer
Dracula Untold,Matt Sazama
Dracula Untold,Burk Sharpless
Horrible Bosses 2,Sean Anders
The Hundred-Foot Journey,Steven Knight
No Good Deed (2014),Aimee Lagos
Selma,Paul Webb
Muppets Most Wanted,Nick Stoller
Ouija,Juliet Snowden
Ouija,Stiles White
The Boxtrolls,Irena Brignull
The Boxtrolls,Adam Pava
Jack Ryan:Shadow Recruit,Adam Cozad
Jack Ryan:Shadow Recruit,David Koepp
If I Stay,Shauna Cross
The Book of Life (2014),Jorge R. Gutierrez
About Last Night (2014),Leslye Headland
Into The Storm,John Swetnam
The Judge,Bill Dubuque
The Judge,Nick Schenk
