MOVIE_NAME,ACTOR
Our Brand Is Crisis (2015),Sandra Bullock
Our Brand Is Crisis (2015),Zoe Kazan
Our Brand Is Crisis (2015),Anthony Mackie
Our Brand Is Crisis (2015),Billy Bob Thornton
Grandma (2015),Lily Tomlin
Little Boy,Kevin James
Little Boy,Tom Wilkinson
The Loft,Karl Urban
The Loft,James Marsden
The Loft,Matthias Schoenaerts
Victor Frankenstein,Daniel Radcliffe
Victor Frankenstein,James McAvoy
Victor Frankenstein,Jessica Brown Findlay
Danny Collins,Al Pacino
Danny Collins,Jennifer Garner
Danny Collins,Christopher Plummer
Danny Collins,Annette Bening
90 Minutes in Heaven,Kate Bosworth
90 Minutes in Heaven,Hayden Christensen
True Story,Jonah Hill
True Story,James Franco
True Story,Felicity Jones
Suffragette,Meryl Streep
Suffragette,Carey Mulligan
Suffragette,Helena Bonham Carter
Suffragette,Romola Garai
Suffragette,Ben Whishaw
Suffragette,Brendan Gleeson
The Water Diviner,Russell Crowe
The Water Diviner,Olga Kurylenko
The Water Diviner,Jai Courtney
Irrational Man,Emma Stone
Irrational Man,Joaquin Phoenix
Scouts Guide to the Zombie Apocalypse,Tye Sheridan
Spare Parts,Marisa Tomei
We Are Your Friends,Zac Efron
We Are Your Friends,Emily Ratajkowski
What We Do in the Shadows,Jemaine Clement
Learning to Drive,Ben Kingsley
Rock The Kasbah,Bill Murray
Rock The Kasbah,Bruce Willis
Rock The Kasbah,Kate Hudson
Rock The Kasbah,Zooey Deschanel
Rock The Kasbah,Danny McBride
The End of the Tour,Jason Segel
The End of the Tour,Jesse Eisenberg
Youth,Michael Caine
Youth,Paul Dano
Youth,Rachel Weisz
Chi-Raq,Angela Bassett
Chi-Raq,John Cusack
Chi-Raq,Samuel L. Jackson
Chi-Raq,Wesley Snipes
Captive (2015),David Oyelowo
Truth,Cate Blanchett
Truth,Topher Grace
Truth,Elisabeth Moss
Truth,Dennis Quaid
Truth,Robert Redford
Mistress America,Greta Gerwig
Pawn Sacrifice,Tobey Maguire
Pawn Sacrifice,Liev Schreiber
Pawn Sacrifice,Peter Sarsgaard
My All American,Aaron Eckhart
Cake,Jennifer Aniston
Cake,Anna Kendrick
Cake,Sam Worthington
Cake,Chris Messina
Cake,William H. Macy
Legend,Emily Browning
Legend,Taron Egerton
Legend,Tom Hardy
Clouds of Sils Maria,Chloe Moretz
Clouds of Sils Maria,Kristen Stewart
Clouds of Sils Maria,Tom Sturridge
Piku,Irrfan Khan
The Letters,Rutger Hauer
The Diary of a Teenage Girl,Bel Powley
Infinitely Polar Bear,Mark Ruffalo
Infinitely Polar Bear,Zoe Saldana
99 Homes,Andrew Garfield
'71,Jack O'Connell
Child 44,Tom Hardy
Child 44,Noomi Rapace
Child 44,Gary Oldman
Black Sea,Jude Law
Miss You Already,Toni Collette
Miss You Already,Drew Barrymore
Miss You Already,Dominic Cooper
Macbeth (2015),Marion Cotillard
Macbeth (2015),Elizabeth Debicki
Macbeth (2015),Michael Fassbender
The Overnight,Jason Schwartzman
The Overnight,Adam Scott
The Overnight,Taylor Schilling
5 Flights Up,Morgan Freeman
5 Flights Up,Diane Keaton
Big Stone Gap,Ashley Judd
Big Stone Gap,Patrick Wilson
ABCD (Any Body Can Dance) 2,Prabhu Dheva
Sleeping with Other People,Jason Sudeikis
Sleeping with Other People,Adam Scott
Sleeping with Other People,Amanda Peet
The D Train,Jack Black
The D Train,James Marsden
The Stanford Prison Experiment,Billy Crudup
The Stanford Prison Experiment,Ezra Miller
The Stanford Prison Experiment,Tye Sheridan
The Stanford Prison Experiment,Olivia Thirlby
Welcome to Me,Kristen Wiig
Welcome to Me,James Marsden
Welcome to Me,Tim Robbins
Freeheld,Julianne Moore
Freeheld,Ellen Page
Freeheld,Steve Carell
When Marnie Was There,Hailee Steinfeld
When Marnie Was There,Kathy Bates
When Marnie Was There,John C. Reilly
A Little Chaos,Kate Winslet
A Little Chaos,Matthias Schoenaerts
A Little Chaos,Alan Rickman
A Little Chaos,Stanley Tucci
Remember,Dean Norris
Remember,Christopher Plummer
By the Sea,Angelina Jolie
By the Sea,Brad Pitt
Listen to Me Marlon,Marlon Brando
Kahlil Gibran's The Prophet,Salma Hayek
Kahlil Gibran's The Prophet,John Krasinski
Kahlil Gibran's The Prophet,Frank Langella
Kahlil Gibran's The Prophet,Alfred Molina
Kahlil Gibran's The Prophet,Liam Neeson
Kahlil Gibran's The Prophet,Quvenzhane Wallis
Effie Gray,Dakota Fanning
Effie Gray,Emma Thompson
Effie Gray,Tom Sturridge
Maps to the Stars,Julianne Moore
Maps to the Stars,Mia Wasikowska
Maps to the Stars,John Cusack
Maps to the Stars,Robert Pattinson
Talvar,Irrfan Khan
Good Kill,Ethan Hawke
Good Kill,January Jones
Slow West,Michael Fassbender
Slow West,Kodi Smit-McPhee
A Royal Night Out,Bel Powley
Dark Places,Nicholas Hoult
Dark Places,Chloe Moretz
Dark Places,Charlize Theron
Escobar:Paradise Lost,Benicio Del Toro
Escobar:Paradise Lost,Josh Hutcherson
Gemma Bovery,Gemma Arterton
Stonewall (2015),Jonathan Rhys Meyers
Stonewall (2015),Ron Perlman
Maggie,Arnold Schwarzenegger
Maggie,Abigail Breslin
Serena,Jennifer Lawrence
Serena,Bradley Cooper
Serena,Rhys Ifans
The Young & Prodigious T.S. Spivet,Helena Bonham Carter
A Brilliant Young Mind,Sally Hawkins
Time Out of Mind,Richard Gere
Time Out of Mind,Jena Malone
After The Ball,Portia Doubleday
Hell and Back,Mila Kunis
Hell and Back,Danny McBride
Hell and Back,Rob Riggle
Hell and Back,Susan Sarandon
Hell and Back,Nick Swardson
Experimenter,John Leguizamo
Experimenter,Kellan Lutz
Experimenter,Winona Ryder
Experimenter,Peter Sarsgaard
Desert Dancer,Freida Pinto
Samba,Omar Sy
The Last 5 Years,Anna Kendrick
Manglehorn,Holly Hunter
Manglehorn,Chris Messina
Manglehorn,Al Pacino
Cop Car,Kevin Bacon
Mississippi Grind,Ryan Reynolds
Kung Fu Killer,Donnie Yen
Boulevard,Robin Williams
Z for Zachariah,Chiwetel Ejiofor
Z for Zachariah,Chris Pine
Z for Zachariah,Margot Robbie
Digging for Fire,Jake Johnson
Digging for Fire,Rosemarie DeWitt
She's Funny That Way,Owen Wilson
She's Funny That Way,Imogen Poots
She's Funny That Way,Will Forte
She's Funny That Way,Rhys Ifans
She's Funny That Way,Jennifer Aniston
Adult Beginners,Rose Byrne
Results,Guy Pearce
Every Secret Thing,Elizabeth Banks
Every Secret Thing,Dakota Fanning
Every Secret Thing,Diane Lane
Every Secret Thing,Common
A LEGO Brickumentary,Jason Bateman*
James White,Scott Mescudi
James White,Ron Livingston
Christmas Eve,Jon Heder
Christmas Eve,Patrick Stewart
Queen of Earth,Elisabeth Moss
Beasts of No Nation,Idris Elba
Blackbird,Mo'Nique
Dragon Blade,Adrien Brody
Dragon Blade,Jackie Chan
Dragon Blade,John Cusack
The Wonders,Monica Bellucci
Predestination,Ethan Hawke
People Places Things,Jemaine Clement
People Places Things,Regina Hall
Only You,Marisa Tomei
Only You,"Robert Downey, Jr."
Only You,Bonnie Hunt
Cooties,Leigh Whannell
Cooties,Elijah Wood
Entertainment,Michael Cera
Entertainment,John C. Reilly
Entertainment,Tye Sheridan
Aloft,Jennifer Connelly
Aloft,Cillian Murphy
Aloft,Melanie Laurent
Heist (2015),Kate Bosworth
Heist (2015),Morris Chestnut
Heist (2015),Robert DeNiro
Heist (2015),Jeffrey Dean Morgan
Shanghai,John Cusack
Shanghai,Jeffrey Dean Morgan
Beyond the Reach,Michael Douglas
Lost River,Eva Mendes
Lost River,Saoirse Ronan
The Salvation,Eva Green
The Salvation,Jeffrey Dean Morgan
The Salvation,Jonathan Pryce
River of Fundament,Paul Giamatti
River of Fundament,Maggie Gyllenhaal
Lila & Eve,Viola Davis
Lila & Eve,Jennifer Lopez
Match,Patrick Stewart
Match,Matthew Lillard
Before We Go,Chris Evans
Before We Go,Alice Eve
Knock Knock,Keanu Reeves
Song One,Anne Hathaway
Don Verdean,Sam Rockwell
Don Verdean,Amy Ryan
Don Verdean,Jemaine Clement
Don Verdean,Will Forte
Don Verdean,Danny McBride
"Like Sunday, Like Rain",Leighton Meester
7 Chinese Brothers,Alex Ross Perry
7 Chinese Brothers,Jason Schwartzman
The Keeping Room,Brit Marling
The Keeping Room,Hailee Steinfeld
The Keeping Room,Sam Worthington
Big Game,Jim Broadbent
Big Game,Samuel L. Jackson
Big Game,Ray Stevenson
Kill Me Three Times,Simon Pegg
Kill Me Three Times,Teresa Palmer
"Love, Rosie",Lily Collins
The Challenger,Michael Clarke Duncan
Ardor,Gael Garcia Bernal
Trash,Rooney Mara
Strangerland,Nicole Kidman
Strangerland,Hugo Weaving
Extraction,Kellan Lutz
Extraction,Bruce Willis
Cheatin',Jemaine Clement
Dreams Rewired,Tilda Swinton
Just Before I Go,Kyle Gallner
Just Before I Go,Olivia Thirlby
Just Before I Go,Rob Riggle
Little Accidents,Elizabeth Banks
Little Accidents,Boyd Holbrook
Little Accidents,Chloe Sevigny
Little Accidents,Josh Lucas
Every Thing Will be Fine,James Franco
Every Thing Will be Fine,Rachel McAdams
The Riot Club,Max Irons
Barely Lethal,Jessica Alba
Barely Lethal,Samuel L. Jackson
Barely Lethal,Hailee Steinfeld
Gabriel,Rory Culkin
Shout Gladi Gladi,Meryl Streep
Black November,Kim Basinger
Black November,Mickey Rourke
Far from Men,Viggo Mortensen
On War,Mathieu Amalric
Jenny's Wedding,Katherine Heigl
Jenny's Wedding,Tom Wilkinson
Ashby,Emma Roberts
Ashby,Mickey Rourke
Back to the Jurassic,Rob Schneider
Set Fire to the Stars,Elijah Wood
Cut Snake,Alex Russell
Forever (2015),Ioan Gruffudd
Skin Trade,Ron Perlman
American Sniper,Bradley Cooper
American Sniper,Kyle Gallner
The Hunger Games:Mockingjay - Part 1,Jennifer Lawrence
The Hunger Games:Mockingjay - Part 1,Josh Hutcherson
The Hunger Games:Mockingjay - Part 1,Liam Hemsworth
The Hunger Games:Mockingjay - Part 1,Woody Harrelson
The Hunger Games:Mockingjay - Part 1,Philip Seymour Hoffman
The Hunger Games:Mockingjay - Part 1,Julianne Moore
The Hunger Games:Mockingjay - Part 1,Elizabeth Banks
The Hunger Games:Mockingjay - Part 1,Jena Malone
The Hunger Games:Mockingjay - Part 1,Jeffrey Wright
The Hunger Games:Mockingjay - Part 1,Stanley Tucci
Guardians of the Galaxy,Chris Pratt
Guardians of the Galaxy,Zoe Saldana
Guardians of the Galaxy,Vin Diesel
Guardians of the Galaxy,Bradley Cooper
Guardians of the Galaxy,Karen Gillan
Guardians of the Galaxy,John C. Reilly
Guardians of the Galaxy,Glenn Close
Guardians of the Galaxy,Benicio Del Toro
Guardians of the Galaxy,Josh Brolin*
Captain America:The Winter Soldier,Chris Evans
Captain America:The Winter Soldier,Scarlett Johansson
Captain America:The Winter Soldier,Samuel L. Jackson
Captain America:The Winter Soldier,Robert Redford
Captain America:The Winter Soldier,Anthony Mackie
Captain America:The Winter Soldier,Frank Grillo
The LEGO Movie,Anthony Daniels*
The LEGO Movie,Chris Pratt
The LEGO Movie,Elizabeth Banks
The LEGO Movie,Channing Tatum
The LEGO Movie,Will Ferrell
The LEGO Movie,Liam Neeson
The LEGO Movie,Jonah Hill
The LEGO Movie,Charlie Day
The LEGO Movie,Morgan Freeman
The Hobbit:The Battle of the Five Armies,Ian McKellen
The Hobbit:The Battle of the Five Armies,Martin Freeman
The Hobbit:The Battle of the Five Armies,Orlando Bloom
The Hobbit:The Battle of the Five Armies,Evangeline Lilly
The Hobbit:The Battle of the Five Armies,Hugo Weaving
The Hobbit:The Battle of the Five Armies,Christopher Lee
The Hobbit:The Battle of the Five Armies,Cate Blanchett
The Hobbit:The Battle of the Five Armies,Benedict Cumberbatch
Transformers:Age of Extinction,Mark Wahlberg
Transformers:Age of Extinction,Stanley Tucci
Transformers:Age of Extinction,Kelsey Grammer
Maleficent,Angelina Jolie
Maleficent,Sharlto Copley
Maleficent,Imelda Staunton
Maleficent,Juno Temple
Maleficent,Brenton Thwaites
X-Men:Days of Future Past,Omar Sy
X-Men:Days of Future Past,Hugh Jackman
X-Men:Days of Future Past,James McAvoy
X-Men:Days of Future Past,Michael Fassbender
X-Men:Days of Future Past,Jennifer Lawrence
X-Men:Days of Future Past,Nicholas Hoult
X-Men:Days of Future Past,Patrick Stewart
X-Men:Days of Future Past,Ian McKellen
X-Men:Days of Future Past,Ellen Page
X-Men:Days of Future Past,Halle Berry
X-Men:Days of Future Past,Anna Paquin*
X-Men:Days of Future Past,Famke Janssen*
X-Men:Days of Future Past,James Marsden*
Big Hero 6,Jamie Chung
Dawn of the Planet of the Apes,Andy Serkis
Dawn of the Planet of the Apes,Gary Oldman
Dawn of the Planet of the Apes,Kodi Smit-McPhee
The Amazing Spider-Man 2,Andrew Garfield
The Amazing Spider-Man 2,Emma Stone
The Amazing Spider-Man 2,Jamie Foxx
The Amazing Spider-Man 2,Dane DeHaan
The Amazing Spider-Man 2,Sally Field
The Amazing Spider-Man 2,Paul Giamatti
The Amazing Spider-Man 2,Chris Cooper
The Amazing Spider-Man 2,Felicity Jones*
Godzilla (2014),Aaron Johnson
Godzilla (2014),Sally Hawkins
Godzilla (2014),Bryan Cranston
22 Jump Street,Jonah Hill
22 Jump Street,Channing Tatum
22 Jump Street,Ice Cube
22 Jump Street,Dave Franco*
22 Jump Street,Rob Riggle*
Teenage Mutant Ninja Turtles (2014),Megan Fox
Teenage Mutant Ninja Turtles (2014),Johnny Knoxville
Interstellar,Matthew McConaughey
Interstellar,Anne Hathaway
Interstellar,Jessica Chastain
Interstellar,Casey Affleck
Interstellar,Topher Grace
Interstellar,David Oyelowo*
Interstellar,Michael Caine
Interstellar,Matt Damon*
How to Train Your Dragon 2,Jay Baruchel
How to Train Your Dragon 2,Gerard Butler
How to Train Your Dragon 2,America Ferrera
How to Train Your Dragon 2,Jonah Hill
How to Train Your Dragon 2,Christopher Mintz-Plasse
How to Train Your Dragon 2,Kristen Wiig
How to Train Your Dragon 2,Cate Blanchett
Gone Girl,Ben Affleck
Gone Girl,Rosamund Pike
Gone Girl,Neil Patrick Harris
Gone Girl,Tyler Perry
Gone Girl,Emily Ratajkowski*
Gone Girl,Boyd Holbrook*
Divergent,Shailene Woodley
Divergent,Theo James
Divergent,Jai Courtney
Divergent,Ray Stevenson
Divergent,Miles Teller
Divergent,Kate Winslet
Divergent,Ashley Judd
Divergent,Ansel Elgort
Neighbors,Seth Rogen
Neighbors,Rose Byrne
Neighbors,Zac Efron
Neighbors,Dave Franco
Neighbors,Christopher Mintz-Plasse
Ride Along,Kevin Hart
Ride Along,Ice Cube
Ride Along,John Leguizamo
Ride Along,Laurence Fishburne
Rio 2,Anne Hathaway
Rio 2,Jesse Eisenberg
Rio 2,Leslie Mann
Rio 2,Jemaine Clement
Rio 2,Jamie Foxx
Rio 2,Tracy Morgan
Into the Woods,Meryl Streep
Into the Woods,Emily Blunt
Into the Woods,Anna Kendrick
Into the Woods,Chris Pine
Into the Woods,Johnny Depp
Lucy,Scarlett Johansson
Lucy,Morgan Freeman
Lucy,Analeigh Tipton*
The Fault in our Stars,Shailene Woodley
The Fault in our Stars,Ansel Elgort
The Fault in our Stars,Willem Dafoe
Unbroken,Jack O'Connell
Unbroken,Garrett Hedlund
Unbroken,Jai Courtney
Unbroken,Alex Russell
Night at the Museum:Secret of the Tomb,Dan Stevens
Night at the Museum:Secret of the Tomb,Ben Stiller
Night at the Museum:Secret of the Tomb,Robin Williams
Night at the Museum:Secret of the Tomb,Owen Wilson
Night at the Museum:Secret of the Tomb,Rebel Wilson
Night at the Museum:Secret of the Tomb,Ben Kingsley
Night at the Museum:Secret of the Tomb,Steve Coogan
Mr. Peabody & Sherman,Ty Burrell
Mr. Peabody & Sherman,Stanley Tucci
Mr. Peabody & Sherman,Lake Bell*
Mr. Peabody & Sherman,Leslie Mann*
300:Rise of An Empire,Eva Green
300:Rise of An Empire,Lena Headey
300:Rise of An Empire,Jack O'Connell
The Equalizer,Denzel Washington
The Equalizer,Chloe Moretz
The Equalizer,Melissa Leo
Noah,Russell Crowe
Noah,Jennifer Connelly
Noah,Emma Watson
Noah,Anthony Hopkins
Noah,Logan Lerman
Noah,Frank Langella*
Edge of Tomorrow,Tom Cruise
Edge of Tomorrow,Emily Blunt
Edge of Tomorrow,Brendan Gleeson
Non-Stop,Liam Neeson
Non-Stop,Julianne Moore
Non-Stop,Lupita Nyong'o
Heaven is for Real,Greg Kinnear
Heaven is for Real,Thomas Haden Church
The Imitation Game,Benedict Cumberbatch
The Imitation Game,Keira Knightley
The Imitation Game,Matthew Goode
The Imitation Game,Mark Strong
Dumb and Dumber To,Jim Carrey
Dumb and Dumber To,Rob Riggle
Annie (2014),Jamie Foxx
Annie (2014),Quvenzhane Wallis
Annie (2014),Rose Byrne
Annie (2014),Cameron Diaz
Fury (2014),Brad Pitt
Fury (2014),Logan Lerman
Fury (2014),Shia LaBeouf
Tammy,Melissa McCarthy
Tammy,Susan Sarandon
Tammy,Kathy Bates
Tammy,Mark Duplass
Tammy,Toni Collette
The Other Woman (2014),Cameron Diaz
The Other Woman (2014),Leslie Mann
The Other Woman (2014),Kate Upton
The Other Woman (2014),Nicki Minaj
Penguins of Madagascar,Benedict Cumberbatch
Penguins of Madagascar,John Malkovich
Let's Be Cops,Jake Johnson
The Monuments Men,George Clooney
The Monuments Men,Matt Damon
The Monuments Men,Bill Murray
The Monuments Men,Cate Blanchett
Hercules (2014),Dwayne Johnson
Hercules (2014),Rufus Sewell
The Purge:Anarchy,Michael K. Williams
The Purge:Anarchy,Frank Grillo
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Steve Carell
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Jennifer Garner
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Bella Thorne
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Jennifer Coolidge
Think Like a Man Too,Michael Ealy
Think Like a Man Too,Regina Hall
Think Like a Man Too,Taraji P. Henson
Think Like a Man Too,Kevin Hart
Exodus:Gods and Kings,Ewen Bremner
Exodus:Gods and Kings,Christian Bale
Exodus:Gods and Kings,Sigourney Weaver
Exodus:Gods and Kings,Ben Kingsley
The Nut Job,Brendan Fraser
The Nut Job,Liam Neeson
The Nut Job,Katherine Heigl
The Grand Budapest Hotel,Mathieu Amalric
The Grand Budapest Hotel,Ralph Fiennes
The Grand Budapest Hotel,Adrien Brody
The Grand Budapest Hotel,Willem Dafoe
The Grand Budapest Hotel,Jeff Goldblum
The Grand Budapest Hotel,Jude Law
The Grand Budapest Hotel,Bill Murray
The Grand Budapest Hotel,Edward Norton
The Grand Budapest Hotel,Saoirse Ronan
The Grand Budapest Hotel,Jason Schwartzman
The Grand Budapest Hotel,Tilda Swinton
The Grand Budapest Hotel,Tom Wilkinson
The Grand Budapest Hotel,Owen Wilson
Planes:Fire & Rescue,Ed Harris
RoboCop (2014),Michael K. Williams
RoboCop (2014),Gary Oldman
RoboCop (2014),Michael Keaton
RoboCop (2014),Abbie Cornish
RoboCop (2014),Jackie Earle Haley
RoboCop (2014),Jay Baruchel
RoboCop (2014),Samuel L. Jackson
Dracula Untold,Dominic Cooper
Horrible Bosses 2,Jason Bateman
Horrible Bosses 2,Charlie Day
Horrible Bosses 2,Jason Sudeikis
Horrible Bosses 2,Jennifer Aniston
Horrible Bosses 2,Kevin Spacey
Horrible Bosses 2,Jamie Foxx
Horrible Bosses 2,Christoph Waltz
Horrible Bosses 2,Chris Pine
The Hundred-Foot Journey,Helen Mirren
No Good Deed (2014),Idris Elba
No Good Deed (2014),Taraji P. Henson
Selma,Tessa Thompson
Selma,David Oyelowo
Selma,Tom Wilkinson
Selma,Giovanni Ribisi
Selma,Common
Selma,"Cuba Gooding, Jr.*"
Muppets Most Wanted,Ty Burrell
Muppets Most Wanted,Tina Fey
Muppets Most Wanted,Jemaine Clement
The Boxtrolls,Ben Kingsley
The Boxtrolls,Toni Collette
The Boxtrolls,Jared Harris
The Boxtrolls,Simon Pegg
The Boxtrolls,Nick Frost
The Boxtrolls,Tracy Morgan
Jack Ryan:Shadow Recruit,Chris Pine
Jack Ryan:Shadow Recruit,Keira Knightley
Jack Ryan:Shadow Recruit,Kevin Costner
Jack Ryan:Shadow Recruit,Kenneth Branagh
If I Stay,Chloe Moretz
If I Stay,Mireille Enos
The Book of Life (2014),Eugenio Derbez
The Book of Life (2014),Diego Luna
The Book of Life (2014),Zoe Saldana
The Book of Life (2014),Channing Tatum
The Book of Life (2014),Christina Applegate
The Book of Life (2014),Ron Perlman
The Book of Life (2014),Ice Cube
About Last Night (2014),Kevin Hart
About Last Night (2014),Michael Ealy
About Last Night (2014),Regina Hall
About Last Night (2014),Paula Patton
Into The Storm,Jeremy Sumpter
The Judge,"Robert Downey, Jr."
The Judge,Robert Duvall
The Judge,Vera Farmiga
The Judge,Billy Bob Thornton
The Judge,Leighton Meester
Jersey Boys,Christopher Walken
Blended,Adam Sandler
Blended,Drew Barrymore
Blended,Bella Thorne
The Giver,Jeff Bridges
The Giver,Meryl Streep
The Giver,Brenton Thwaites
St. Vincent,Naomi Watts
St. Vincent,Melissa McCarthy
St. Vincent,Bill Murray
St. Vincent,Terrence Howard
Need for Speed,Imogen Poots
Need for Speed,Dominic Cooper
Need for Speed,Scott Mescudi
Need for Speed,Michael Keaton
A Million Ways to Die in the West,Seth MacFarlane
A Million Ways to Die in the West,Charlize Theron
A Million Ways to Die in the West,Liam Neeson
A Million Ways to Die in the West,Amanda Seyfried
A Million Ways to Die in the West,Giovanni Ribisi
A Million Ways to Die in the West,Neil Patrick Harris
John Wick,Keanu Reeves
John Wick,Adrianne Palicki
John Wick,Willem Dafoe
John Wick,Michael Nyqvist
John Wick,Bridget Moynahan
John Wick,Lance Reddick
Birdman,Michael Keaton
Birdman,Zach Galifianakis
Birdman,Edward Norton
Birdman,Amy Ryan
Birdman,Emma Stone
Birdman,Naomi Watts
Dolphin Tale 2,Ashley Judd
Dolphin Tale 2,Morgan Freeman
The Expendables 3,Sylvester Stallone
The Expendables 3,Jason Statham
The Expendables 3,Antonio Banderas
The Expendables 3,Jet Li
The Expendables 3,Wesley Snipes
The Expendables 3,Kelsey Grammer
The Expendables 3,Kellan Lutz
The Expendables 3,Mel Gibson
The Expendables 3,Harrison Ford
The Expendables 3,Arnold Schwarzenegger
Sex Tape,Jason Segel
Sex Tape,Cameron Diaz
Sex Tape,Rob Lowe
Wild (2014),Reese Witherspoon
Million Dollar Arm,Jon Hamm
Million Dollar Arm,Lake Bell
Million Dollar Arm,Suraj Sharma
The Theory of Everything,Eddie Redmayne
The Theory of Everything,Felicity Jones
This is Where I Leave You,Jason Bateman
This is Where I Leave You,Tina Fey
This is Where I Leave You,Rose Byrne
This is Where I Leave You,Timothy Olyphant
The Gambler,Mark Wahlberg
The Gambler,Brie Larson
Nightcrawler,Jake Gyllenhaal
Nightcrawler,Rene Russo
Chef,Jon Favreau
Chef,John Leguizamo
Chef,Scarlett Johansson
Chef,Dustin Hoffman
Chef,"Robert Downey, Jr."
Get On Up,Chadwick Boseman
Get On Up,Viola Davis
3 Days to Kill,Kevin Costner
3 Days to Kill,Hailee Steinfeld
3 Days to Kill,Amber Heard
Deliver Us From Evil,Eric Bana
Deliver Us From Evil,Edgar Ramirez
When the Game Stands Tall,James Caviezel
Draft Day,Kevin Costner
Draft Day,Jennifer Garner
Draft Day,Frank Langella
Draft Day,Chadwick Boseman
Draft Day,Sean 'P. Diddy' Combs
Oculus,Karen Gillan
Oculus,Brenton Thwaites
Oculus,Katee Sackhoff
The Best of Me,James Marsden
The Best of Me,Michelle Monaghan
The Best of Me,Luke Bracey
A Walk Among the Tombstones,Liam Neeson
A Walk Among the Tombstones,Dan Stevens
A Walk Among the Tombstones,Boyd Holbrook
That Awkward Moment,Zac Efron
That Awkward Moment,Michael B. Jordan
That Awkward Moment,Miles Teller
That Awkward Moment,Imogen Poots
Boyhood,Ethan Hawke
Top Five,Chris Rock
Top Five,Rosario Dawson
Top Five,Cedric the Entertainer
Top Five,Tracy Morgan
Top Five,Kevin Hart
The November Man,Pierce Brosnan
The November Man,Olga Kurylenko
The November Man,Luke Bracey
Endless Love (2014),Alex Pettyfer
Endless Love (2014),Rhys Wakefield
Pompeii,Emily Browning
Pompeii,Kiefer Sutherland
Pompeii,Jared Harris
Pompeii,Carrie-Anne Moss
Transcendence,Johnny Depp
Transcendence,Rebecca Hall
Transcendence,Paul Bettany
Transcendence,Cillian Murphy
Transcendence,Morgan Freeman
Brick Mansions,Paul Walker
"I, Frankenstein",Aaron Eckhart
"I, Frankenstein",Jai Courtney
The Legend of Hercules,Kellan Lutz
Addicted,Sharon Leal
Addicted,Boris Kodjoe
A Haunted House 2,Marlon Wayans
A Haunted House 2,Cedric the Entertainer
A Most Wanted Man,Philip Seymour Hoffman
A Most Wanted Man,Rachel McAdams
A Most Wanted Man,Willem Dafoe
Begin Again,Keira Knightley
Begin Again,Mark Ruffalo
Begin Again,Hailee Steinfeld
Tyler Perry's The Single Moms Club,Tyler Perry
Tyler Perry's The Single Moms Club,Nia Long
And So It Goes,Michael Douglas
And So It Goes,Diane Keaton
Step Up All In,Ryan Guzman
Beyond the Lights,Danny Glover
Big Eyes,Amy Adams
Big Eyes,Christoph Waltz
Big Eyes,Jason Schwartzman
Left Behind (2014),Nicolas Cage
Frank Miller's Sin City:A Dame to Kill For,Jessica Alba
Frank Miller's Sin City:A Dame to Kill For,Josh Brolin
Frank Miller's Sin City:A Dame to Kill For,Rosario Dawson
Frank Miller's Sin City:A Dame to Kill For,Joseph Gordon-Levitt
Frank Miller's Sin City:A Dame to Kill For,Eva Green
Frank Miller's Sin City:A Dame to Kill For,Mickey Rourke
Frank Miller's Sin City:A Dame to Kill For,Bruce Willis
Frank Miller's Sin City:A Dame to Kill For,Jamie Chung*
Frank Miller's Sin City:A Dame to Kill For,Juno Temple*
Labor Day,Kate Winslet
Labor Day,Josh Brolin
Whiplash,Miles Teller
Whiplash,Melissa Benoist
Winter's Tale,Colin Farrell
Winter's Tale,Russell Crowe
Winter's Tale,Jessica Brown Findlay
Winter's Tale,Jennifer Connelly
Winter's Tale,William Hurt
Winter's Tale,Will Smith*
Foxcatcher,Steve Carell
Foxcatcher,Mark Ruffalo
Foxcatcher,Channing Tatum
Belle,Matthew Goode
Belle,Tom Wilkinson
The Drop,Tom Hardy
The Drop,Noomi Rapace
The Drop,James Gandolfini
The Drop,Matthias Schoenaerts
Island of Lemurs:Madagascar (IMAX),Morgan Freeman
Magic in the Moonlight,Emma Stone
Magic in the Moonlight,Colin Firth
Sabotage (2014),Arnold Schwarzenegger
Sabotage (2014),Sam Worthington
Sabotage (2014),Terrence Howard
The Quiet Ones,Jared Harris
Legends of Oz:Dorothy's Return,Kelsey Grammer
Inherent Vice,Michael K. Williams
Inherent Vice,Joaquin Phoenix
Inherent Vice,Josh Brolin
Inherent Vice,Owen Wilson
Inherent Vice,Reese Witherspoon
Inherent Vice,Benicio Del Toro
Inherent Vice,Jena Malone
Vampire Academy,Claire Foy
Vampire Academy,Olga Kurylenko
Bad Words,Jason Bateman
The Interview (2014),James Franco
The Interview (2014),Seth Rogen
A Most Violent Year,Jessica Chastain
A Most Violent Year,David Oyelowo
A Most Violent Year,Albert Brooks
Cesar Chavez,John Malkovich
Cesar Chavez,Rosario Dawson
Cesar Chavez,America Ferrera
The Skeleton Twins,Kristen Wiig
The Skeleton Twins,Ty Burrell
The Skeleton Twins,Luke Wilson
The Skeleton Twins,Boyd Holbrook
The Wind Rises,Joseph Gordon-Levitt
The Wind Rises,John Krasinski
The Wind Rises,Emily Blunt
