MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
Marvel's The Avengers,207438708,896200000,220000000,Action / Adventure,2012-05-04 00:00:00
The Dark Knight Rises,160887295,636800000,250000000,Action Thriller,2012-07-20 00:00:00
The Hunger Games,152535747,286384032,78000000,Action / Adventure,2012-03-23 00:00:00
Skyfall,88364714,804200736,200000000,Action,2012-11-09 00:00:00
The Hobbit:An Unexpected Journey,84617303,718100000,0,Fantasy,2012-12-14 00:00:00
The Twilight Saga:Breaking Dawn Part 2,141067634,537422083,120000000,Romance,2012-11-16 00:00:00
The Amazing Spider-Man,62004688,495900000,230000000,Action / Adventure,2012-07-03 00:00:00
Brave,66323594,301700000,185000000,Animation,2012-06-22 00:00:00
Ted,54415205,330552828,50000000,Comedy,2012-06-29 00:00:00
Madagascar 3:Europe's Most Wanted,60316738,530529792,145000000,Animation,2012-06-08 00:00:00
Dr. Seuss' The Lorax,70217070,134809816,70000000,Animation,2012-03-02 00:00:00
Wreck-It Ralph,49038712,281800000,165000000,Animation,2012-11-02 00:00:00
Lincoln,21993714,93085477,65000000,Historical Drama,2012-11-09 00:00:00
MIB 3,54592779,445005922,225000000,Sci-Fi Comedy,2012-05-25 00:00:00
Django Unchained,30122888,262562804,100000000,Western,2012-12-25 00:00:00
Ice Age:Continental Drift,46629259,715922939,95000000,Animation,2012-07-13 00:00:00
Snow White and the Huntsman,56217700,241260448,170000000,Adventure,2012-06-01 00:00:00
Les Miserables (2012),27281735,293000000,61000000,Musical,2012-12-25 00:00:00
Hotel Transylvania,42522194,210062555,85000000,Animation,2012-09-28 00:00:00
Taken 2,49514769,236287019,45000000,Action,2012-10-05 00:00:00
21 Jump Street,36302612,63137661,42000000,Action Comedy,2012-03-16 00:00:00
Argo,19458109,96300000,0,Drama / Thriller,2012-10-12 00:00:00
Silver Linings Playbook,4522317,104319495,21000000,Comedy,2012-11-16 00:00:00
Prometheus,51050101,276877385,130000000,Sci-Fi Action,2012-06-08 00:00:00
Safe House,40172720,81702771,85000000,Action Thriller,2012-02-10 00:00:00
The Vow,41202458,71100540,30000000,Drama,2012-02-10 00:00:00
Life of Pi,22451514,484029542,120000000,Adventure,2012-11-21 00:00:00
Magic Mike,39127170,53500000,7000000,Comedy / Drama,2012-06-29 00:00:00
The Bourne Legacy,38142825,162940880,125000000,Action,2012-08-10 00:00:00
