MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
The Mermaid (Mei ren yu),985052,550577543,0,Fantasy Drama,2016-02-19 00:00:00
Green Room,499360,0,0,Thriller,2016-04-15 00:00:00
Sing Street,63573,5144705,0,Musical,2016-04-15 00:00:00
Compadres,1397434,0,0,Action,2016-04-22 00:00:00
The Other Side of the Door,1211210,11181375,0,Horror,2016-03-04 00:00:00
Maggie's Plan,63308,0,0,Comedy,2016-05-20 00:00:00
2016 Oscar Nominated Short Films,559502,0,0,Unknown,2016-01-29 00:00:00
Ip Man 3,784839,154165316,0,Action,2016-01-22 00:00:00
Miles Ahead,114530,0,0,Drama,2016-04-01 00:00:00
Kapoor & Sons - Since 1921,986992,12789411,0,Comedy,2016-03-18 00:00:00
Our Kind of Traitor,984698,0,0,Drama,2016-07-01 00:00:00
A Aa,1213057,0,0,Comedy / Drama,2016-06-01 00:00:00
A Bigger Splash,114419,0,0,Crime Drama,2016-05-04 00:00:00
Demolition,1100042,0,0,Drama,2016-04-08 00:00:00
Busco Novio Para Mi Mujer,902457,0,0,Comedy,2016-02-19 00:00:00
Fan,1382871,0,0,Comedy / Drama,2016-04-15 00:00:00
I Saw the Light,729461,0,0,Drama,2016-03-25 00:00:00
Neerja,626528,15871616,0,Drama,2016-02-19 00:00:00
Weiner,84173,0,0,Documentary,2016-05-20 00:00:00
Jane Got a Gun,835572,0,0,Western,2016-01-29 00:00:00
The Infiltrator,0,0,0,Drama / Thriller,2016-07-13 00:00:00
The Little Prince,116927,96232098,0,Animation,2016-02-12 00:00:00
Embrace of the Serpent,50955,0,0,Drama,2016-02-17 00:00:00
Housefull 3,683620,0,0,Romantic Comedy,2016-06-03 00:00:00
The Neon Demon,589014,0,0,Horror Thriller,2016-06-24 00:00:00
Genius,98274,0,0,Drama,2016-06-10 00:00:00
Lazer Team,108586,0,0,Sci-Fi Comedy,2016-01-27 00:00:00
Wazir,586028,0,0,Thriller,2016-01-08 00:00:00
Papa:Hemingway in Cuba,475224,0,0,Drama,2016-04-29 00:00:00
Dough,50871,0,0,Comedy / Drama,2016-02-12 00:00:00
Elvis & Nixon,466447,0,0,Drama,2016-04-22 00:00:00
Hunt for the Wilderpeople,78439,0,0,Adventure Comedy,2016-06-24 00:00:00
Gentleman,537490,0,0,Drama / Thriller,2016-06-17 00:00:00
Ki & Ka,539521,0,0,Romantic Comedy,2016-04-01 00:00:00
Dark Horse (2016),13838,0,0,Documentary,2016-05-06 00:00:00
Chongqing Hot Pot,201960,0,0,Thriller,2016-04-01 00:00:00
The Wailing (Goksung),77892,0,0,Drama / Thriller,2016-05-20 00:00:00
The Monkey King 2 in 3D,166391,192967176,0,Action / Adventure,2016-02-05 00:00:00
Born to be Blue (US Release),46184,0,0,Drama,2016-03-25 00:00:00
The Music of Strangers,24614,0,0,Documentary,2016-06-10 00:00:00
Remember (US Release),20489,0,0,Drama / Thriller,2016-03-11 00:00:00
The Bronze,386328,0,0,Comedy,2016-03-18 00:00:00
City of Gold,62959,0,0,Documentary,2016-03-11 00:00:00
Range 15,1044,0,0,Horror Comedy,2016-06-15 00:00:00
Saturday's Warrior,96041,0,0,Musical,2016-04-01 00:00:00
Knight of Cups,60551,0,0,Drama,2016-03-04 00:00:00
Fitoor,347164,0,0,Romance,2016-02-12 00:00:00
The First Monday in May,99242,0,0,Documentary,2016-04-15 00:00:00
Unsullied,179112,0,0,Action Horror,2016-04-22 00:00:00
Marguerite,19924,0,0,Drama,2016-03-11 00:00:00
The Boy and the Beast,274247,0,0,Animation,2016-03-04 00:00:00
Detective Chinatown (Tang ren jie tan an),280281,125368683,0,Foreign,2016-01-15 00:00:00
Only Yesterday (2016 re-release),14970,0,0,Animation,2016-01-01 00:00:00
Baaghi,237215,0,0,Action Comedy,2016-04-29 00:00:00
The Lobster (Canada Release),0,0,0,Comedy / Drama,2016-03-25 00:00:00
Tickled,21898,0,0,Documentary,2016-06-17 00:00:00
Te3n,258066,0,0,Crime Thriller,2016-06-10 00:00:00
High-Rise,79887,0,0,Action Drama,2016-05-13 00:00:00
AmeriGeddon,125571,0,0,Action,2016-05-13 00:00:00
Wiener-Dog,24311,0,0,Comedy,2016-06-24 00:00:00
Francofonia,22083,0,0,Documentary,2016-04-01 00:00:00
April and the Extraordinary World,11413,0,0,Animation,2016-03-25 00:00:00
My Golden Days,26847,0,0,Drama,2016-03-18 00:00:00
The Family Fang,14506,0,0,Comedy,2016-04-29 00:00:00
Cold War 2,157385,0,0,Action Thriller,2016-07-08 00:00:00
