MOVIE_NAME,DIRECTOR
Grandma (2015),Paul Weitz
Little Boy,Alejandro Monteverde
Danny Collins,Dan Fogelman
The Water Diviner,Russell Crowe
Irrational Man,Woody Allen
Anomalisa,Charlie Kaufman
Scouts Guide to the Zombie Apocalypse,Christopher B. Landon
What We Do in the Shadows,Taika Waititi
Wild Tales,Damian Szifron
Rock The Kasbah,Barry Levinson
The End of the Tour,James Ponsoldt
He Named Me Malala,Davis Guggenheim
Chi-Raq,Spike Lee
Truth,James Vanderbilt
Mistress America,Noah Baumbach
Jem and the Holograms,Jon Chu
Cake,Daniel Barnz
Legend,Brian Helgeland
Child 44,Daniel Espinosa
Black Sea,Kevin Macdonald
Miss You Already,Catherine Hardwicke
Singh is Bling,Prabhu Dheva
Sleeping with Other People,Leslye Headland
Seymour:An Introduction,Ethan Hawke
A Little Chaos,Alan Rickman
Remember,Atom Egoyan
By the Sea,Angelina Jolie
Coming Home (2015),Zhang Yimou
Good Kill,Andrew Niccol
Love (2015),Gaspar Noe
Wolf Totem,Jean-Jacques Annaud
Stonewall (2015),Roland Emmerich
The Young & Prodigious T.S. Spivet,Jean-Pierre Jeunet
Time Out of Mind,Oren Moverman
The Last 5 Years,Richard LaGravenese
Manglehorn,David Gordon Green
Mississippi Grind,Anna Boden
Mississippi Grind,Ryan Fleck
Digging for Fire,Joe Swanberg
Queen of Earth,Alex Ross Perry
Queen of Earth,Alex Ross Perry
Beasts of No Nation,Cary Fukunaga
The Quay Brothers in 35mm,Christopher Nolan
Shanghai,Mikael Hafstrom
Lost River,Ryan Gosling
Breathe,Melanie Laurent
Lila & Eve,Charles Stone III
Before We Go,Chris Evans
Knock Knock,Eli Roth
Metropolitan (2015 re-release),Whit Stillman
Trash,Stephen Daldry
Just Before I Go,Courteney Cox
The Riot Club,Lone Scherfig
Area 51,Oren Peli
Chocolat (2015 re-release),Claire Denis
American Sniper,Clint Eastwood
The Hunger Games:Mockingjay - Part 1,Francis Lawrence
Guardians of the Galaxy,James Gunn
Captain America:The Winter Soldier,Anthony Russo
Captain America:The Winter Soldier,Joe Russo
The LEGO Movie,Phil Lord
The LEGO Movie,Chris Miller (II)
The Hobbit:The Battle of the Five Armies,Peter Jackson
Transformers:Age of Extinction,Michael Bay
Maleficent,Robert Stromberg
X-Men:Days of Future Past,Bryan Singer
Big Hero 6,Don Hall
Big Hero 6,Chris Williams
Dawn of the Planet of the Apes,Matt Reeves
The Amazing Spider-Man 2,Marc Webb
Godzilla (2014),Gareth Edwards
22 Jump Street,Phil Lord
22 Jump Street,Chris Miller (II)
Teenage Mutant Ninja Turtles (2014),Jonathan Liebesman
Interstellar,Christopher Nolan
How to Train Your Dragon 2,Dean DeBlois
Gone Girl,David Fincher
Divergent,Neil Burger
Neighbors,Nick Stoller
Ride Along,Tim Story
Rio 2,Carlos Saldanha
Into the Woods,Rob Marshall
Lucy,Luc Besson
The Fault in our Stars,Josh Boone
Unbroken,Angelina Jolie
Night at the Museum:Secret of the Tomb,Shawn Levy
Mr. Peabody & Sherman,Rob Minkoff
300:Rise of An Empire,Noam Murro
The Maze Runner,Wes Ball
The Equalizer,Antoine Fuqua
Noah,Darren Aronofsky
Edge of Tomorrow,Doug Liman
Non-Stop,Jaume Collet-Serra
Heaven is for Real,Randall Wallace
The Imitation Game,Morten Tyldum
Dumb and Dumber To,The Farrelly Bros.
Annie (2014),Will Gluck
Fury (2014),David Ayer
Annabelle,John R. Leonetti
The Other Woman (2014),Nick Cassavetes
Penguins of Madagascar,Eric Darnell
Penguins of Madagascar,Simon J. Smith
Let's Be Cops,Luke Greenfield
The Monuments Men,George Clooney
Hercules (2014),Brett Ratner
The Purge:Anarchy,James DeMonaco
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta
Think Like a Man Too,Tim Story
Exodus:Gods and Kings,Ridley Scott
The Nut Job,Peter Lepeniotis
Son of God,Christopher Spencer
The Grand Budapest Hotel,Wes Anderson
RoboCop (2014),Jose Padilha
Dracula Untold,Gary Shore
Horrible Bosses 2,Sean Anders
The Hundred-Foot Journey,Lasse Hallstrom
No Good Deed (2014),Sam Miller
Selma,Ava DuVernay
Ouija,Stiles White
The Boxtrolls,Graham Annable
The Boxtrolls,Anthony Stacchi
Jack Ryan:Shadow Recruit,Kenneth Branagh
If I Stay,R.J. Cutler
The Book of Life (2014),Jorge R. Gutierrez
About Last Night (2014),Steve Pink
Into The Storm,Steven Quale
The Judge,David Dobkin
Jersey Boys,Clint Eastwood
Blended,Frank Coraci
The Giver,Phillip Noyce
St. Vincent,Theodore Melfi
Need for Speed,Scott Waugh
A Million Ways to Die in the West,Seth MacFarlane
John Wick,David Leitch
John Wick,Chad Stahelski
The Expendables 3,Patrick Hughes
