MOVIE_NAME,PRODUCER
The Divergent Series:Insurgent,Lucy Fisher
The Divergent Series:Insurgent,David Hoberman
The Divergent Series:Insurgent,Douglas Wick
The Peanuts Movie,Christophe Beck
Kingsman:The Secret Service,Matthew Vaughn
Kingsman:The Secret Service,Henry Jackman
The Good Dinosaur,Jeff Danna
The Good Dinosaur,Mychael Danna
Spy,Peter Chernin
Spy,Paul Feig
Spy,Theodore Shapiro
Trainwreck,Judd Apatow
Trainwreck,Barry Mendel
Trainwreck,Jon Brion
Tomorrowland,Brad Bird
Tomorrowland,Jeffrey Chernov
Tomorrowland,Damon Lindelof
Tomorrowland,Michael Giacchino
Get Hard,Will Ferrell
Get Hard,Chris Henchy
Get Hard,Adam McKay
Get Hard,Christophe Beck
Terminator:Genisys,David Ellison
Terminator:Genisys,Megan Ellison
Terminator:Genisys,Dana Goldberg
Terminator:Genisys,Laeta Kalogridis
Terminator:Genisys,Patrick Lussier
Terminator:Genisys,Paul Schwake
Taken 3,Luc Besson
Sisters,Tina Fey
Sisters,Jay Roach
Sisters,Christophe Beck
Maze Runner:The Scorch Trials,Marty Bowen
Maze Runner:The Scorch Trials,Wyck Godfrey
Maze Runner:The Scorch Trials,John Paesano
Ted 2,Jason Clark
Ted 2,John Jacobs
Ted 2,Seth MacFarlane
Ted 2,Scott Stuber
Ted 2,Walter Murphy
Goosebumps,Danny Elfman
Pixels,Chris Columbus
Pixels,Jack Giarraputo
Pixels,Seth Gordon
Pixels,Tim Herlihy
Pixels,Heather Parry
Pixels,Adam Sandler
Pixels,Henry Jackman
Paddington,David Heyman
Paddington,Nick Urata
Bridge of Spies,Daniel Lupi
Bridge of Spies,Marc Platt
Bridge of Spies,Steven Spielberg
Bridge of Spies,Thomas Newman
Paul Blart:Mall Cop 2,Todd Garner
Paul Blart:Mall Cop 2,Kevin James
Paul Blart:Mall Cop 2,Adam Sandler
Paul Blart:Mall Cop 2,Rupert Gregson-Williams
The Big Short,Dede Gardner
The Big Short,Jeremy Kleiner
The Big Short,Brad Pitt
Magic Mike XXL,Reid Carolin
Magic Mike XXL,Gregory Jacobs
Magic Mike XXL,Steven Soderbergh
Magic Mike XXL,Channing Tatum
Magic Mike XXL,Nick Wechsler
The Visit,Jason Blum
The Visit,Steven Schneider
The Visit,M. Night Shyamalan
The Wedding Ringer,Jeremy Garelick
The Wedding Ringer,Will Packer
The Wedding Ringer,Christopher Lennertz
Black Mass,Junkie XL
Vacation,Chris Bender
Vacation,David Dobkin
Vacation,Mark Mothersbaugh
Joy,Danny Elfman
Fantastic Four,Avi Arad
Fantastic Four,Simon Kinberg
Fantastic Four,Stan Lee
Fantastic Four,Matthew Vaughn
Fantastic Four,Marco Beltrami
The Hateful Eight,Stacey Sher
The Hateful Eight,Ennio Morricone
Focus (2015),Denise Di Novi
Focus (2015),Nick Urata
Southpaw,Todd Black
Southpaw,Jason Blumenthal
Southpaw,Antoine Fuqua
Southpaw,Steve Tisch
Southpaw,James Horner
Insidious Chapter 3,Jason Blum
Insidious Chapter 3,Oren Peli
Insidious Chapter 3,Peter Schlessel
Insidious Chapter 3,Steven Schneider
Insidious Chapter 3,James Wan
Insidious Chapter 3,Joseph Bishara
Poltergeist (2015),Roy Lee
Poltergeist (2015),Sam Raimi
Poltergeist (2015),Marc Streitenfeld
Jupiter Ascending,Lilly & Lana Wachowski
Jupiter Ascending,Michael Giacchino
The Man From U.N.C.L.E.,John Davis
The Man From U.N.C.L.E.,David Dobkin
The Man From U.N.C.L.E.,Daniel Pemberton
Spotlight,Howard Shore
The Gift (2015),Jason Blum
Everest (2015),Tim Bevan
Everest (2015),Eric Fellner
Everest (2015),Dario Marianelli
The Night Before,Evan Goldberg
The Night Before,Seth Rogen
Krampus,Jon Jashni
Krampus,Thomas Tull
The Age of Adaline,Sidney Kimmel
The Age of Adaline,Gary Lucchesi
The Age of Adaline,Tom Rosenberg
The Age of Adaline,Rob Simonsen
Brooklyn,Michael Brook
The Longest Ride,Marty Bowen
The Longest Ride,Wyck Godfrey
The Longest Ride,Mark Isham
The Boy Next Door,Jason Blum
The Boy Next Door,Jennifer Lopez
The Boy Next Door,Nathan Barr
The Boy Next Door,Randy Edelman
Pan,Greg Berlanti
Hot Pursuit,Bruna Papandrea
Hot Pursuit,Reese Witherspoon
Hot Pursuit,Christophe Beck
Concussion (2015),Ridley Scott
Concussion (2015),James Newton Howard
The DUFF,McG
Woman in Gold,Hans Zimmer
The Second Best Exotic Marigold Hotel,Thomas Newman
Unfriended,Timur Bekmambetov
Unfriended,Jason Blum
Unfriended,Nelson Greaves
Entourage,Stephen Levinson
Entourage,Mark Wahlberg
Paper Towns,Marty Bowen
Paper Towns,Wyck Godfrey
Paper Towns,Scott Neustadter
Paper Towns,Michael H. Weber
Chappie,Hans Zimmer
Crimson Peak,Guillermo del Toro
Crimson Peak,Jon Jashni
Point Break (2015),Junkie XL
Sinister 2,Jason Blum
No Escape,Drew Dowdle
Ricki and the Flash,Mason Novick
Ricki and the Flash,Marc Platt
The Woman in Black 2:Angel of Death,Ryan Kavanaugh
The Woman in Black 2:Angel of Death,Tucker Tooley
Run All Night,Roy Lee
Run All Night,Michael Tadross
Run All Night,Junkie XL
The Lazarus Effect,Jason Blum
Ex Machina,Scott Rudin
The Gallows,Jason Blum
Project Almanac,Josh Appelbaum
Project Almanac,Michael Bay
Project Almanac,Andrew Form
Project Almanac,Brad Fuller
Project Almanac,Andre Nemec
Black or White,Mike Binder
Black or White,Kevin Costner
Black or White,Terence Blanchard
Aloha,Cameron Crowe
Aloha,Scott Rudin
Still Alice,Ilan Eshkeri
Paranormal Activity:The Ghost Dimension,Jason Blum
Steve Jobs,Scott Rudin
Steve Jobs,Daniel Pemberton
Mr. Holmes,Carter Burwell
Seventh Son,Jon Jashni
Seventh Son,Thomas Tull
Seventh Son,Marco Beltrami
Burnt,Michael Shamberg
Burnt,Stacey Sher
Carol,Carter Burwell
Strange Magic,George Lucas
Hot Tub Time Machine 2,Andrew Panay
Hot Tub Time Machine 2,Christophe Beck
Self/Less,Ram Bergman
Self/Less,Peter Schlessel
Self/Less,James D. Stern
The 33,James Horner
The Danish Girl,Alexandre Desplat
The Gunman,Sean Penn
The Gunman,Joel Silver
The Walk,Robert Zemeckis
Blackhat,Jon Jashni
Blackhat,Michael Mann
Blackhat,Thomas Tull
Blackhat,Harry Gregson-Williams
