MOVIE_NAME,PRODUCER
A Walk Among the Tombstones,Stacey Sher
A Walk Among the Tombstones,Carlos Rafael Rivera
That Awkward Moment,Scott Aversano
That Awkward Moment,Zac Efron
That Awkward Moment,Justin Nappi
That Awkward Moment,Andrew O'Connor
That Awkward Moment,Peter Schlessel
That Awkward Moment,Kevin Turen
Boyhood,Richard Linklater
Boyhood,John Sloss
Top Five,Barry Diller
Top Five,Scott Rudin
Top Five,Ludwig Goransson
Endless Love (2014),Pamela Abdy
Endless Love (2014),Josh Schwartz
Endless Love (2014),Scott Stuber
Endless Love (2014),Christophe Beck
Pompeii,Paul W.S. Anderson
Pompeii,Don Carmody
Pompeii,Peter Schlessel
Pompeii,Clinton Shorter
Transcendence,Kate Cohen
Transcendence,Broderick Johnson
Transcendence,Andrew A. Kosove
Transcendence,Dan Mintz
Transcendence,Christopher Nolan
Transcendence,Marisa Polvino
Transcendence,Aaron Ryder
Transcendence,Emma Thomas
Transcendence,David Valdes
Transcendence,Mychael Danna
As Above/So Below,Patrick Aiello
As Above/So Below,Drew Dowdle
Brick Mansions,Matt Alvarez
Brick Mansions,Luc Besson
Brick Mansions,Ryan Kavanaugh
Brick Mansions,Tucker Tooley
"I, Frankenstein",Gary Lucchesi
"I, Frankenstein",Tom Rosenberg
"I, Frankenstein",Richard Wright
The Legend of Hercules,Renny Harlin
Addicted,Paul Hall
Addicted,Aaron Zigman
A Haunted House 2,Rick Alvarez
Begin Again,Judd Apatow
Tyler Perry's The Single Moms Club,Tyler Perry
Tyler Perry's The Single Moms Club,Christopher Young
Devil's Due,John Davis
And So It Goes,Rob Reiner
And So It Goes,Marc Shaiman
Step Up All In,Jennifer Gibgot
Step Up All In,Adam Shankman
Beyond the Lights,Stephanie Allain
Beyond the Lights,Matt Alvarez
Beyond the Lights,Ryan Kavanaugh
Beyond the Lights,Tucker Tooley
Beyond the Lights,Mark Isham
America (2014),Dinesh D'Souza
America (2014),Gerald R. Molen
Frank Miller's Sin City:A Dame to Kill For,Frank Miller
Frank Miller's Sin City:A Dame to Kill For,Robert Rodriguez
Frank Miller's Sin City:A Dame to Kill For,Graeme Revell
Labor Day,Steven M. Rales
Labor Day,Jason Reitman
Labor Day,Rolfe Kent
Whiplash,Jason Blum
Whiplash,Jason Reitman
Winter's Tale,Akiva Goldsman
Winter's Tale,Marc Platt
Winter's Tale,Michael Tadross
Winter's Tale,Rupert Gregson-Williams
Winter's Tale,Hans Zimmer
Foxcatcher,Megan Ellison
Belle,Rachel Portman
The Drop,Peter Chernin
The Drop,Dylan Clark
The Drop,Marco Beltrami
Sabotage (2014),David Ayer
Sabotage (2014),Joe Roth
Sabotage (2014),Skip Woods
Sabotage (2014),David Sardy
Moms' Night Out,Andrew Erwin
Moms' Night Out,Jon Erwin
Inherent Vice,Paul Thomas Anderson
Inherent Vice,Daniel Lupi
Inherent Vice,JoAnne Sellar
Inherent Vice,Jonny Greenwood
Vampire Academy,Don Murphy
Vampire Academy,Rolfe Kent
Bad Words,Jason Bateman
Bad Words,Mason Novick
Bad Words,Rolfe Kent
The Interview (2014),James Weaver
The Interview (2014),Henry Jackman
The Skeleton Twins,Jay Duplass
The Skeleton Twins,Mark Duplass
Dear White People,Stephanie Allain
Wish I Was Here,Adam J. Braff
Wish I Was Here,Zach Braff
Wish I Was Here,Michael Shamberg
Wish I Was Here,Stacey Sher
Wish I Was Here,Rob Simonsen
Veronica Mars,Joel Silver
Before I Go To Sleep,Ridley Scott
Before I Go To Sleep,Ed Shearmur
Rosewater,Gigi Pritzker
Rosewater,Scott Rudin
Obvious Child,Elisabeth Holm
Obvious Child,Gillian Robespierre
The Identical,Howard Klausner
The Pyramid,Mark Canton
The Good Lie,Brian Grazer
The Good Lie,Ron Howard
The Good Lie,Broderick Johnson
The Good Lie,Andrew A. Kosove
Kill the Messenger,Peter Landesman
The Immigrant,James Gray
The Immigrant,Greg Shapiro
Laggies,Steve Golin
50 to 1,Jim Wilson
Third Person,Dario Marianelli
"Men, Women & Children",Jason Reitman
The Disappearance of Eleanor Rigby,Ned Benson
The Two Faces of January,Tim Bevan
The Two Faces of January,Eric Fellner
The Two Faces of January,Alberto Iglesias
Venus in Fur,Alexandre Desplat
Joe (2014),David Gordon Green
Joe (2014),Danny McBride
Joe (2014),Jeff McIlwain
Jimi:All Is By My Side,John Ridley
The Guest (2014),Keith Calder
Horns,Riza Aziz
Horns,Joey McFarland
Horns,Cathy Schulman
God's Pocket,Dean Devlin
Alan Partridge:The Movie,Ilan Eshkeri
One Chance,Simon Cowell
One Chance,Theodore Shapiro
Breathe In,Steven M. Rales
Better Living Through Chemistry,Keith Calder
Frontera,Mike Witherill
Walk of Shame,Gary Lucchesi
Walk of Shame,Tom Rosenberg
White Bird in a Blizzard,Gregg Araki
Happy Christmas,Joe Swanberg
Adult World,Justin Nappi
Video Games:The Movie,Zach Braff
A Long Way Down,Dario Marianelli
You're Not You,Denise Di Novi
You're Not You,Hilary Swank
Marius,Alexandre Desplat
Fanny,Alexandre Desplat
Anna,Jaume Collet-Serra
The Right Kind of Wrong,Rachel Portman
Postman Pat:The Movie,Rupert Gregson-Williams
The Hunger Games:Catching Fire,Nina Jacobson
The Hunger Games:Catching Fire,James Newton Howard
Iron Man 3,Victoria Alonso
Iron Man 3,Louis D'Esposito
Iron Man 3,Jon Favreau
Iron Man 3,Kevin Feige
Iron Man 3,Alan Fine
Iron Man 3,Stan Lee
Iron Man 3,Dan Mintz
Iron Man 3,Brian Tyler
Frozen,Christophe Beck
Despicable Me 2,Janet Healy
Despicable Me 2,Christopher Meledandri
Despicable Me 2,Heitor Pereira
Man of Steel,Christopher Nolan
Man of Steel,Charles Roven
Man of Steel,Deborah Snyder
Man of Steel,Emma Thomas
Man of Steel,Thomas Tull
Man of Steel,Hans Zimmer
Gravity,Alfonso Cuaron
Gravity,David Heyman
Gravity,Stephen Jones
Gravity,Steven Price
Monsters University,John Lasseter
Monsters University,Kori Rae
Monsters University,Randy Newman
The Hobbit:The Desolation of Smaug,Peter Jackson
The Hobbit:The Desolation of Smaug,Fran Walsh
The Hobbit:The Desolation of Smaug,Howard Shore
Fast & Furious 6,Vin Diesel
Fast & Furious 6,Neal H. Moritz
Fast & Furious 6,Brian Tyler*
Fast & Furious 6,Lucas Vidal
Oz The Great and Powerful,Palak Patel
Oz The Great and Powerful,Joe Roth
Oz The Great and Powerful,Danny Elfman
Star Trek Into Darkness,J.J. Abrams
Star Trek Into Darkness,Bryan Burk
Star Trek Into Darkness,Jeffrey Chernov
Star Trek Into Darkness,David Ellison
Star Trek Into Darkness,Dana Goldberg
Star Trek Into Darkness,Alex Kurtzman
Star Trek Into Darkness,Damon Lindelof
Star Trek Into Darkness,Roberto Orci
Star Trek Into Darkness,Paul Schwake
Star Trek Into Darkness,Michael Giacchino
Thor:The Dark World,Louis D'Esposito
Thor:The Dark World,Kevin Feige
Thor:The Dark World,Alan Fine
Thor:The Dark World,Stan Lee
Thor:The Dark World,Brian Tyler
World War Z,Ian Bryce
World War Z,David Ellison
World War Z,Dede Gardner
World War Z,Dana Goldberg
World War Z,Jeremy Kleiner
World War Z,Brad Pitt
World War Z,Paul Schwake
The Croods,Kristine Belson
The Croods,Jane Hartwell
The Croods,Alan Silvestri
The Heat,Peter Chernin
The Heat,Dylan Clark
We're the Millers,Chris Bender
We're the Millers,J.C. Spink
We're the Millers,Tucker Tooley
We're the Millers,Ludwig Goransson
We're the Millers,Theodore Shapiro
American Hustle,Bradley Cooper
American Hustle,Megan Ellison
American Hustle,Charles Roven
American Hustle,Eric Warren Singer
American Hustle,Danny Elfman
The Great Gatsby (2013),Douglas Wick
The Conjuring,Rob Cowan
The Conjuring,Tony DeRosa-Grund
The Conjuring,Peter Safran
The Conjuring,Joseph Bishara
Identity Thief,Pamela Abdy
Identity Thief,Jason Bateman
Identity Thief,Scott Stuber
Identity Thief,Christopher Lennertz
Grown Ups 2,Jack Giarraputo
Grown Ups 2,Adam Sandler
The Wolverine,Lauren Schuler Donner
The Wolverine,Hugh Jackman
The Wolverine,Stan Lee
The Wolverine,Hutch Parker
The Wolverine,Marco Beltrami
Anchorman 2:The Legend Continues,Judd Apatow
Anchorman 2:The Legend Continues,Will Ferrell
Anchorman 2:The Legend Continues,Adam McKay
Lone Survivor,Randall Emmett
Lone Survivor,George Furla
Lone Survivor,Stephen Levinson
Lone Survivor,Steven Saxton
G.I. Joe:Retaliation,Gary Barber
G.I. Joe:Retaliation,Roger Birnbaum
G.I. Joe:Retaliation,Lorenzo di Bonaventura
G.I. Joe:Retaliation,David Ellison
G.I. Joe:Retaliation,Paul Schwake
G.I. Joe:Retaliation,Stephen Sommers
G.I. Joe:Retaliation,Henry Jackman
Cloudy with a Chance of Meatballs 2,Mark Mothersbaugh
Now You See Me,Bobby Cohen
Now You See Me,Brian Tyler
The Wolf of Wall Street,Riza Aziz
The Wolf of Wall Street,Leonardo DiCaprio
The Wolf of Wall Street,Joey McFarland
The Wolf of Wall Street,Martin Scorsese
The Wolf of Wall Street,Irwin Winkler
The Wolf of Wall Street,Howard Shore
Lee Daniels' The Butler,Lee Daniels
Lee Daniels' The Butler,Danny Strong
Lee Daniels' The Butler,Laura Ziskin
The Hangover Part III,Scott Budnick
The Hangover Part III,Todd Phillips
The Hangover Part III,J.C. Spink
The Hangover Part III,Thomas Tull
The Hangover Part III,Christophe Beck
Epic,Danny Elfman
Captain Phillips,Dana Brunetti
Captain Phillips,Michael De Luca
Captain Phillips,Scott Rudin
Captain Phillips,Kevin Spacey
Captain Phillips,Henry Jackman
Jackass Presents:Bad Grandpa,Spike Jonze
Jackass Presents:Bad Grandpa,Johnny Knoxville
Jackass Presents:Bad Grandpa,Jeff Tremaine
Pacific Rim,Jon Jashni
Pacific Rim,Mary Parent
Pacific Rim,Thomas Tull
Pacific Rim,Ramin Djawadi
This is the End,Evan Goldberg
This is the End,Seth Rogen
This is the End,James Weaver
This is the End,Henry Jackman
Olympus Has Fallen,Peter Schlessel
Olympus Has Fallen,Trevor Morris
42,Jason Clark
42,Jon Jashni
42,Thomas Tull
42,Mark Isham
Elysium,Simon Kinberg
Planes,Mark Mancina
The Lone Ranger,Jerry Bruckheimer
The Lone Ranger,Johnny Depp
The Lone Ranger,Eric Ellenbogen
The Lone Ranger,Terry Rossio
The Lone Ranger,Gore Verbinski
The Lone Ranger,Hans Zimmer
Oblivion,Peter Chernin
Oblivion,Dylan Clark
Oblivion,Joseph Kosinski
Insidious Chapter 2,Jason Blum
Insidious Chapter 2,Brian Kavanaugh-Jones
Insidious Chapter 2,Oren Peli
Insidious Chapter 2,Joseph Bishara
Saving Mr. Banks,Thomas Newman
Turbo,Lisa Stewart
Turbo,Henry Jackman
2 Guns,Randall Emmett
2 Guns,George Furla
2 Guns,Marc Platt
2 Guns,Steven Saxton
2 Guns,Clinton Shorter
White House Down,Reid Carolin
White House Down,Roland Emmerich
White House Down,Brad Fischer
White House Down,Larry J. Franco
White House Down,Laeta Kalogridis
White House Down,Harald Kloser
White House Down,James Vanderbilt
White House Down,Harald Kloser
White House Down,Thomas Wander
Mama,J. Miles Dale
Mama,Guillermo del Toro
Mama,Barbara Muschietti
Safe Haven,Marty Bowen
Safe Haven,Wyck Godfrey
Safe Haven,Ryan Kavanaugh
Safe Haven,Tucker Tooley
Safe Haven,Deborah Lurie
The Smurfs 2,Jordan Kerner
The Smurfs 2,Heitor Pereira
The Best Man Holiday,Malcolm D. Lee
Percy Jackson:Sea of Monsters,Chris Columbus
Percy Jackson:Sea of Monsters,Karen Rosenfelt
Percy Jackson:Sea of Monsters,Andrew Lockington
A Good Day to Die Hard,Wyck Godfrey
A Good Day to Die Hard,Jason Keller
A Good Day to Die Hard,Bruce Willis
A Good Day to Die Hard,Alex Young
A Good Day to Die Hard,Marco Beltrami
Warm Bodies,David Hoberman
Warm Bodies,Bruna Papandrea
Warm Bodies,Marco Beltrami
Jack the Giant Slayer,Jon Jashni
Jack the Giant Slayer,Neal H. Moritz
Jack the Giant Slayer,John Ottman
The Purge,Michael Bay
The Purge,Jason Blum
The Purge,Andrew Form
The Purge,Brad Fuller
The Purge,Nathan Whitehead
Last Vegas,Amy Baer
Last Vegas,Laurence Mark
Last Vegas,Mark Mothersbaugh
Ender's Game,Gigi Pritzker
Prisoners,Broderick Johnson
Prisoners,Andrew A. Kosove
Prisoners,Stephen Levinson
After Earth,Jada Pinkett-Smith
After Earth,M. Night Shyamalan
After Earth,Will Smith
After Earth,James Newton Howard
The Secret Life of Walter Mitty,Ben Stiller
The Secret Life of Walter Mitty,Gore Verbinski
The Secret Life of Walter Mitty,Theodore Shapiro
Escape From Planet Earth,Aaron Zigman
12 Years a Slave,Dede Gardner
12 Years a Slave,Jeremy Kleiner
12 Years a Slave,Steve McQueen (II)
12 Years a Slave,Arnon Milchan
12 Years a Slave,Brad Pitt
12 Years a Slave,John Ridley
12 Years a Slave,Hans Zimmer
Free Birds,Craig Mazin
Hansel and Gretel:Witch Hunters,Will Ferrell
Hansel and Gretel:Witch Hunters,Beau Flynn
Hansel and Gretel:Witch Hunters,Chris Henchy
Hansel and Gretel:Witch Hunters,Adam McKay
Hansel and Gretel:Witch Hunters,Denis L. Stewart
Hansel and Gretel:Witch Hunters,Atli Orvarsson
Evil Dead (2013),Sam Raimi
Evil Dead (2013),Peter Schlessel
Red 2,Lorenzo di Bonaventura
Red 2,Mark Vahradian
Red 2,Alan Silvestri
Tyler Perry's A Madea Christmas,Tyler Perry
Tyler Perry's A Madea Christmas,Christopher Young
Tyler Perry's Temptation:Confessions of a Marriage Counselor,Ozzie Areu
Tyler Perry's Temptation:Confessions of a Marriage Counselor,Paul Hall
Tyler Perry's Temptation:Confessions of a Marriage Counselor,Aaron Zigman
Pain and Gain,Michael Bay
Pain and Gain,Ian Bryce
Pain and Gain,Steve Jablonsky
Gangster Squad,Ruben Fleischer
Gangster Squad,Dan Lin
Gangster Squad,Kevin McCormick
Gangster Squad,Michael Tadross
Gangster Squad,Steve Jablonsky
The Internship,Shawn Levy
The Internship,Arnon Milchan
The Internship,Scott Stuber
The Internship,Vince Vaughn
The Internship,Christophe Beck
Snitch,Justin Haythe
Snitch,Dwayne Johnson
Riddick,Vin Diesel
A Haunted House,Rick Alvarez
A Haunted House,Brian Kavanaugh-Jones
A Haunted House,Marlon Wayans
47 Ronin,Pamela Abdy
47 Ronin,Erwin Stoff
47 Ronin,Scott Stuber
47 Ronin,Ilan Eshkeri
August:Osage County,George Clooney
August:Osage County,Grant Heslov
Philomena,Steve Coogan
Philomena,Alexandre Desplat
The Family (2013),Luc Besson
The Family (2013),Ryan Kavanaugh
The Family (2013),Martin Scorsese
The Family (2013),Virginie Silla
The Family (2013),Tucker Tooley
Carrie (2013),J. Miles Dale
Carrie (2013),Kevin Misher
Texas Chainsaw 3D,John Frizzell
R.I.P.D.,David Dobkin
R.I.P.D.,Neal H. Moritz
R.I.P.D.,Christophe Beck
Kevin Hart:Let Me Explain,Kevin Hart
Side Effects (2013),Scott Z. Burns
Side Effects (2013),Lorenzo di Bonaventura
Side Effects (2013),Gregory Jacobs
Side Effects (2013),James D. Stern
Side Effects (2013),Thomas Newman
Scary Movie 5,David Zucker
The Mortal Instruments:City of Bones,Don Carmody
The Mortal Instruments:City of Bones,Robert Kulzer
The Mortal Instruments:City of Bones,Atli Orvarsson
Delivery Man,Scott Mednick
Delivery Man,Jon Brion
Grudge Match,Bill Gerber
Grudge Match,Peter Segal
Grudge Match,Trevor Rabin
One Direction:This is Us,Simon Cowell
One Direction:This is Us,Morgan Spurlock
Kick-Ass 2,Mark Millar
Kick-Ass 2,Brad Pitt
Kick-Ass 2,Matthew Vaughn
Kick-Ass 2,Henry Jackman
Rush (2013),Eric Fellner
Rush (2013),Brian Grazer
Rush (2013),Ron Howard
Rush (2013),Hans Zimmer
The Host (2013),Stephenie Meyer
The Host (2013),Nick Wechsler
The World's End,Tim Bevan
The World's End,Eric Fellner
The World's End,Steven Price
21 and Over,David Hoberman
21 and Over,Ryan Kavanaugh
21 and Over,Jon Lucas
21 and Over,Scott Moore
21 and Over,Tucker Tooley
21 and Over,Lyle Workman
Her (2013),Megan Ellison
Her (2013),Spike Jonze
Her (2013),Daniel Lupi
Escape Plan,Mark Canton
Escape Plan,Randall Emmett
Escape Plan,George Furla
Escape Plan,Alex Heffes
Don Jon,Ram Bergman
The Incredible Burt Wonderstone,Chris Bender
The Incredible Burt Wonderstone,J.C. Spink
The Incredible Burt Wonderstone,Lyle Workman
The Big Wedding,Justin Zackham
The Big Wedding,Nathan Barr
Mud,Aaron Ryder
Baggage Claim,Aaron Zigman
"The Way, Way Back",Gigi Pritzker
The Book Thief,John Williams
Homefront,Sylvester Stallone
Homefront,Mark Isham
Broken City,Randall Emmett
Broken City,George Furla
Broken City,Allen Hughes
Broken City,Stephen Levinson
Broken City,Arnon Milchan
Broken City,Teddy Schwarzman
Broken City,Mark Wahlberg
Broken City,Atticus Ross
Beautiful Creatures (2013),Broderick Johnson
Beautiful Creatures (2013),Andrew A. Kosove
Beautiful Creatures (2013),Molly Smith
Beautiful Creatures (2013),Erwin Stoff
Beautiful Creatures (2013),David Valdes
Beautiful Creatures (2013),Thenewno2
Runner Runner,Leonardo DiCaprio
Runner Runner,Brian Koppelman
Runner Runner,Arnon Milchan
Runner Runner,Michael Shamberg
Runner Runner,Stacey Sher
Runner Runner,Christophe Beck
You're Next,Keith Calder
Quartet,Dustin Hoffman
Quartet,Dario Marianelli
Admission,Paul Weitz
Admission,Stephen Trask
Parker,Taylor Hackford
Parker,Sidney Kimmel
Parker,Peter Schlessel
Parker,David Buckley
Dark Skies,Jason Blum
Dark Skies,Brian Kavanaugh-Jones
Dark Skies,Joseph Bishara
The Counselor,Ridley Scott
The Counselor,Nick Wechsler
The Counselor,Daniel Pemberton
Jobs,John Debney
Fruitvale Station,Forest Whitaker
Fruitvale Station,Ludwig Goransson
About Time,Tim Bevan
About Time,Eric Fellner
The Last Exorcism Part II,Marc Abraham
The Last Exorcism Part II,Eric Newman
The Last Exorcism Part II,Eli Roth
The Last Exorcism Part II,Michael Wandmacher
Inside Llewyn Davis,Ethan Coen
Inside Llewyn Davis,Joel Coen
Inside Llewyn Davis,Scott Rudin
The Last Stand,Lorenzo di Bonaventura
Out of the Furnace,Riza Aziz
Out of the Furnace,Leonardo DiCaprio
Out of the Furnace,Ryan Kavanaugh
Out of the Furnace,Joey McFarland
Out of the Furnace,Ridley Scott
Out of the Furnace,Tony Scott
Out of the Furnace,Tucker Tooley
Dead Man Down,Brian Kavanaugh-Jones
Dead Man Down,Neal H. Moritz
Dead Man Down,Peter Schlessel
Dead Man Down,J.H. Wyman
Getaway (2013),Joel Silver
Getaway (2013),Courtney Solomon
Getaway (2013),Justin Caine Burnett
Bullet to the Head,Brian Kavanaugh-Jones
Bullet to the Head,Joel Silver
Bullet to the Head,Steve Mazzaro
Tyler Perry Presents Peeples,Stephanie Allain
Tyler Perry Presents Peeples,Ozzie Areu
Tyler Perry Presents Peeples,Paul Hall
Tyler Perry Presents Peeples,Tyler Perry
Tyler Perry Presents Peeples,Aaron Zigman
Battle of the Year,Beau Flynn
Battle of the Year,Will Packer
Battle of the Year,Christopher Lennertz
Movie 43,Ryan Kavanaugh
Movie 43,Tucker Tooley
Movie 43,Christophe Beck
Before Midnight,Richard Linklater
Before Midnight,John Sloss
Machete Kills,Robert Rodriguez
Paranoia,Ryan Kavanaugh
Paranoia,Tucker Tooley
Paranoia,Junkie XL
Black Nativity,T.D. Jakes
The Spectacular Now,Scott Neustadter
The Spectacular Now,Michael H. Weber
The Grandmaster,Wong Kar Wai
All Is Lost,Justin Nappi
All Is Lost,Teddy Schwarzman
All Is Lost,Kevin Turen
Believe,Justin Bieber
Believe,Scooter Braun
Closed Circuit,Tim Bevan
Closed Circuit,Eric Fellner
Closed Circuit,Joby Talbot
The Company You Keep,Robert Redford
The Company You Keep,Cliff Martinez
The To-Do List,Tom Lassally
Emperor,Alex Heffes
Stand Up Guys,Sidney Kimmel
Stand Up Guys,Gary Lucchesi
Stand Up Guys,Tom Rosenberg
Stand Up Guys,Lyle Workman
The Fifth Estate,Steve Golin
The Fifth Estate,Jeff Skoll
The Fifth Estate,Carter Burwell
Trance,Steven M. Rales
The East,Brit Marling
The East,Ridley Scott
Oldboy (2013),Doug Davison
Oldboy (2013),Roy Lee
Oldboy (2013),Peter Schlessel
Austenland,Stephenie Meyer
Austenland,Ilan Eshkeri
Stoker,Steven M. Rales
Girl Most Likely,Steve Golin
Girl Most Likely,Kristen Wiig
I'm So Excited,Alberto Iglesias
The Kings of Summer,Jordan Vogt-Roberts
The Invisible Woman,Ilan Eshkeri
What Maisie Knew,Nick Urata
Thanks for Sharing,Edward Norton
Thanks for Sharing,Christopher Lennertz
Only God Forgives,Ryan Gosling
Only God Forgives,Cliff Martinez
Parkland,James Newton Howard
The Inevitable Defeat of Mister and Pete,"George Tillman, Jr."
The Inevitable Defeat of Mister and Pete,Mark Isham
Dirty Wars,Randall Wallace
At Any Price,Justin Nappi
At Any Price,Teddy Schwarzman
At Any Price,Kevin Turen
Drinking Buddies,Joe Swanberg
Drinking Buddies,Mike Witherill
A Place at the Table,Jeff Skoll
Arthur Newman,Nick Urata
A.C.O.D.,Teddy Schwarzman
A.C.O.D.,Nick Urata
LUV,Steven Saxton
John Dies at the End,Brian Tyler
Spinning Plates,Ed Shearmur
Stuck in Love,Josh Boone
Leonie,Patrick Aiello
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola
Killing Season,Christopher Young
Redemption (2013),Dario Marianelli
I Give It a Year,Tim Bevan
I Give It a Year,Eric Fellner
I Give It a Year,Ilan Eshkeri
Hunky Dory,Joby Talbot
Love and Honor (2013),Alex Heffes
Dealin' With Idiots,John Sloss
Violet & Daisy,Geoffrey Fletcher
The Monk,Alberto Iglesias
Charlie Countryman,Christophe Beck
Welcome to Pine Hill,Elisabeth Holm
As Cool As I Am,Christopher Lennertz
The Lesser Blessed,Paul Intson
Java Heat,Justin Caine Burnett
Marvel's The Avengers,Victoria Alonso
Marvel's The Avengers,Louis D'Esposito
Marvel's The Avengers,Jon Favreau
Marvel's The Avengers,Kevin Feige
Marvel's The Avengers,Alan Fine
Marvel's The Avengers,Stan Lee
Marvel's The Avengers,Patricia Whitcher
Marvel's The Avengers,Alan Silvestri
The Dark Knight Rises,Christopher Nolan
The Dark Knight Rises,Charles Roven
The Dark Knight Rises,Emma Thomas
The Dark Knight Rises,Thomas Tull
The Dark Knight Rises,Hans Zimmer
The Hunger Games,Robin Bissell
The Hunger Games,Suzanne Collins
The Hunger Games,Nina Jacobson
The Hunger Games,Jon Kilik
The Hunger Games,James Newton Howard
Skyfall,Barbara Broccoli
Skyfall,Michael G. Wilson
Skyfall,Thomas Newman
The Hobbit:An Unexpected Journey,Peter Jackson
The Hobbit:An Unexpected Journey,Fran Walsh
The Hobbit:An Unexpected Journey,Howard Shore
The Twilight Saga:Breaking Dawn Part 2,Marty Bowen
The Twilight Saga:Breaking Dawn Part 2,Wyck Godfrey
The Twilight Saga:Breaking Dawn Part 2,Stephenie Meyer
The Twilight Saga:Breaking Dawn Part 2,Karen Rosenfelt
The Twilight Saga:Breaking Dawn Part 2,Carter Burwell
The Amazing Spider-Man,Avi Arad
The Amazing Spider-Man,Michael Grillo
The Amazing Spider-Man,Stan Lee
The Amazing Spider-Man,Laura Ziskin
The Amazing Spider-Man,James Horner
Brave,Pete Docter
Brave,John Lasseter
Brave,Andrew Stanton
Brave,Patrick Doyle
Ted,Jason Clark
Ted,John Jacobs
Ted,Seth MacFarlane
Ted,Scott Stuber
Ted,Wellesley Wild
Ted,Walter Murphy
Madagascar 3:Europe's Most Wanted,Mireille Soria
Madagascar 3:Europe's Most Wanted,Mark Swift
Madagascar 3:Europe's Most Wanted,Hans Zimmer
Dr. Seuss' The Lorax,Janet Healy
Dr. Seuss' The Lorax,Christopher Meledandri
Dr. Seuss' The Lorax,John Powell
Wreck-It Ralph,John Lasseter
Wreck-It Ralph,Henry Jackman
Lincoln,Kathleen Kennedy
Lincoln,Daniel Lupi
Lincoln,Jeff Skoll
Lincoln,Steven Spielberg
Lincoln,John Williams
MIB 3,Steven Spielberg
MIB 3,Danny Elfman
Django Unchained,Michael Shamberg
Django Unchained,Stacey Sher
Ice Age:Continental Drift,John C. Donkin
Ice Age:Continental Drift,John Powell
Snow White and the Huntsman,Sam Mercer
Snow White and the Huntsman,Palak Patel
Snow White and the Huntsman,Joe Roth
Snow White and the Huntsman,James Newton Howard
Les Miserables (2012),Tim Bevan
Les Miserables (2012),Eric Fellner
Hotel Transylvania,Michelle Murdocca
Hotel Transylvania,Adam Sandler
Hotel Transylvania,Robert Smigel
Hotel Transylvania,Mark Mothersbaugh
Taken 2,Luc Besson
21 Jump Street,Jonah Hill
21 Jump Street,Neal H. Moritz
21 Jump Street,Channing Tatum
21 Jump Street,Mark Mothersbaugh
Argo,Ben Affleck
Argo,George Clooney
Argo,Tim Headington
Argo,Grant Heslov
Argo,Graham King
Argo,David Klawans
Argo,Alexandre Desplat
Prometheus,Damon Lindelof
Prometheus,Ridley Scott
Prometheus,Tony Scott
Prometheus,Marc Streitenfeld
Safe House,Scott Aversano
Safe House,Marc D. Evans
Safe House,Trevor Macy
Safe House,Scott Stuber
Safe House,Ramin Djawadi
The Vow,Gary Barber
The Vow,Roger Birnbaum
The Vow,J. Miles Dale
The Vow,Jonathan Glickman
The Vow,Paul Taublieb
The Vow,Michael Brook
The Vow,Rachel Portman
Life of Pi,Ang Lee
Life of Pi,Mychael Danna
Magic Mike,Reid Carolin
Magic Mike,Gregory Jacobs
Magic Mike,Channing Tatum
Magic Mike,Nick Wechsler
The Bourne Legacy,Patrick Crowley
The Bourne Legacy,Jennifer Fox
The Bourne Legacy,Frank Marshall
The Bourne Legacy,James Newton Howard
Journey 2:The Mysterious Island,Beau Flynn
Journey 2:The Mysterious Island,Charlotte Huggins
Journey 2:The Mysterious Island,Tripp Vinson
Journey 2:The Mysterious Island,Andrew Lockington
Rise of the Guardians,Guillermo del Toro
Rise of the Guardians,Gary Goetzman
Rise of the Guardians,Alexandre Desplat
Zero Dark Thirty,Kathryn Bigelow
Zero Dark Thirty,Mark Boal
Zero Dark Thirty,Megan Ellison
Zero Dark Thirty,Greg Shapiro
Zero Dark Thirty,Alexandre Desplat
Flight,Alan Silvestri
Think Like a Man,Rob Hardy
Think Like a Man,Will Packer
Think Like a Man,Christopher Lennertz
The Campaign,Will Ferrell
The Campaign,Zach Galifianakis
The Campaign,Chris Henchy
The Campaign,Adam McKay
The Campaign,Jay Roach
The Campaign,Theodore Shapiro
The Expendables 2,Brian Tyler
Wrath of the Titans,Jon Jashni
Wrath of the Titans,Polly Johnsen
Wrath of the Titans,Louis Leterrier
Wrath of the Titans,Thomas Tull
Wrath of the Titans,Javier Navarette
Jack Reacher,Tom Cruise
Jack Reacher,David Ellison
Jack Reacher,Dana Goldberg
Jack Reacher,Paul Schwake
Jack Reacher,Paula Wagner
Dark Shadows,Johnny Depp
Dark Shadows,Nigel Gostelow
Dark Shadows,Tim Headington
Dark Shadows,Graham King
Dark Shadows,Danny Elfman
Parental Guidance,Peter Chernin
Parental Guidance,Billy Crystal
Parental Guidance,Marc Shaiman
John Carter,Colin Wilson
John Carter,Michael Giacchino
Act of Valor,Jason Clark
Act of Valor,Ryan Kavanaugh
Act of Valor,Mike McCoy
Act of Valor,Tucker Tooley
Act of Valor,Scott Waugh
Act of Valor,Nathan Furst
This Is 40,Judd Apatow
This Is 40,Barry Mendel
This Is 40,Clayton Townsend
This Is 40,Jon Brion
Contraband,Tim Bevan
Contraband,Eric Fellner
Contraband,Bill Johnson
Contraband,Baltasar Kormakur
